Match Flag	Item ID	Item Number	Item Description 1	Item Description 2	Branch Plant	Stocking Type	Division	Part Type	Div by Part Type	ItemID	ItemNumber	ThirdItemNumber	Description1	Description2	BranchPlant	Plant	BranchPlant_Desc	Company	StockingType	StockingType_Desc	Part_Type	ProductGroup	ProductGroup_Desc	ProductFamily	ProductFamily_Desc	ProductCode	ProductCode_Desc	CatCode4	CatCode4_Desc	CatCode6	CatCode6_Desc	CatCode7	CatCode7_Desc	CatCode8	CatCode8_Desc	CatCode9	CatCode9_Desc	ItemCatCode7	ItemCatCode7_Desc	ItemCatCode9	ItemCatCode9_Desc	CommodityClass	CommodityClass_Desc	CommoditySubclass	CommoditySubClass_Desc	PrimaryLastSupplierNumber	PlannerNumber	BuyerNumber	LineType	Product_Type	Product_Type_Desc	CrossRefType	CustomerSupplierItemNumber
3	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B181	P	MPD	Direct Purchased	MPDDirect Purchased	20040498	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B283	PH1	MPD PHX Raw Materials B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.	P4901C	"IFU, reprints, internal traini"		.		.		.					12254319	27120	27120	S				
3	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B181	P	MPD	Direct Purchased	MPDDirect Purchased	20040498	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B261	FP	Medical Fisher Point B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.	P4901C	"IFU, reprints, internal traini"		.		.		.					4245	28435	28435	S				
3	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B181	P	MPD	Direct Purchased	MPDDirect Purchased	20040498	20040498	20040498	IFU CD AAA EXCLUDER EXC GLOBAL		B181	CEW	MPD Holland Returns B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.	P4901C	"IFU, reprints, internal traini"		.		.		.					4219	28435	0	S				
3	10291085	10291085	CONT 3.5MM<>GORE-100 R/A	518000818 REV A	B003	M	EPD	Intermediates	EPDIntermediates	10291085	10291085	518000818	CONT 3.5MM<>GORE-100 R/A	518000818 REV A	B003	NG	New Garden 1 B/P	3	M	Mfg. Assembly or Sub-Assembly	Intermediates	A11	GMCA	AEB	Test Microwave	AD6	GMCA PHASEFLEX	B24	GMCA SUPPLY CHAIN PLATFORM		.		.				.		.		.					0	10653	0	S				
3	10289797	10289797	AC TORQUE MOTOR		B201	A	MPD	Indirect Purchased	MPDIndirect Purchased	10289797	10289797	10289797	AC TORQUE MOTOR		B201	KP	Kendrick Peak MPD B/P	8	A	Critical Spares	Indirect Purchased										.		.				.		.		.	R01	"RP, couplings"			11040942	0	17596197	S			VN	632
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B122	WM	MPD Divisional Warehouse  B/P	8	J	Intermediate Goods-Receive Plt	Intermediates									MMC	Medical MFG Components		.				.		.		.	807	MPD FILM			4055	16389442	16389442	S				
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B279	PH1	Medical Phoenix 1  B/P	8	J	Intermediate Goods-Receive Plt	Intermediates										.		.				.		.		.	807	MPD FILM			4132	0	16378478	S				
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B011	WS	Medical Woody Springs B/P	8	L	Expensed-Other Supplies	Indirect Purchased										.		.				.		.		.	807	MPD FILM			4132	0	16326776	S				
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B008	MW	Medical West B/P	8	M	Mfg. Assembly or Sub-Assembly	Intermediates									MMC	Medical MFG Components		.				.		.		.	807	MPD FILM			0	16389442	13001	S				
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	WM	Medical Woody Mountain B/P	8	J	Intermediate Goods-Receive Plt	Intermediates									MMC	Medical MFG Components		.				.		.		.					4055	16389442	0	S				
