Date,F1,F2,M1,M2,D1,D2,U1,U2,G,Total
2014-08-16,56,10,10,10,6,13,10,5,10,130
2014-08-16,19,5,7,10,5,10,24,10,10,100
2014-08-16,19,4,10,7,5,10,10,13,15,93
2014-08-16,5,9,3,3,10,10,13,10,15,78
2014-08-16,9,33,10,33,10,3,40,5,16,159
2014-08-16,10,24,6,33,5,10,10,10,28,136
2014-08-16,19,40,7,17,10,16,19,10,10,148
2014-08-16,56,10,10,5,10,3,26,10,10,140
2014-08-16,5,33,6,7,5,3,3,10,16,88
2014-08-16,5,19,33,13,26,10,5,40,28,179
2014-08-16,40,9,17,33,3,13,40,10,28,193
2014-08-16,10,40,3,6,10,26,3,10,10,118
2014-08-16,40,10,3,7,10,10,3,33,10,126
2014-08-16,9,5,10,10,4,10,10,6,10,74
2014-08-16,33,5,6,10,26,3,17,14,16,130
2014-08-16,40,24,5,9,6,10,5,3,10,112
2014-08-16,56,4,17,3,10,26,16,10,10,152
2014-08-16,5,10,3,6,6,16,10,6,28,90
2014-08-16,4,33,5,33,10,3,10,16,10,124
2014-08-16,33,9,9,3,6,10,13,40,10,133
2014-08-16,40,24,3,3,10,13,33,10,10,146
2014-08-16,4,33,13,11,13,5,10,3,10,102
2014-08-16,33,56,33,5,6,10,6,10,10,169
2014-08-16,9,56,14,3,10,10,10,10,35,157
2014-08-16,4,56,33,14,3,5,6,3,10,134
2014-08-16,19,9,5,14,10,10,6,33,10,116
2014-08-16,4,5,9,7,3,26,40,10,10,114
2014-08-16,4,24,3,33,10,10,4,6,10,104
2014-08-16,40,19,6,3,6,10,13,6,10,113
2014-08-16,24,33,10,10,16,10,10,10,10,133
2014-08-16,9,33,3,9,10,10,10,10,10,104
2014-08-16,56,24,7,17,10,6,3,3,10,136
2014-08-16,33,4,17,3,6,5,3,5,10,86
2014-08-16,56,4,5,7,10,10,40,10,16,158
2014-08-16,56,9,3,5,6,10,3,10,10,112
2014-08-16,10,33,13,11,6,3,10,4,10,100
2014-08-16,4,10,10,3,10,4,5,40,15,101
2014-08-16,10,19,17,13,5,10,33,3,10,120
2014-08-16,4,40,10,5,10,10,33,56,35,203
2014-08-16,24,4,3,6,16,10,10,17,10,100
2014-08-16,56,24,3,3,3,10,5,3,10,117
2014-08-16,5,19,5,3,10,10,16,7,10,85
2014-08-16,10,33,3,3,10,6,5,6,10,86
2014-08-16,9,10,3,5,10,10,5,5,10,67
2014-08-16,9,33,10,3,10,10,3,10,10,98
2014-08-16,4,56,11,14,3,10,14,5,10,127
2014-08-16,10,40,10,6,10,6,6,10,10,108
2014-08-16,10,19,3,17,10,6,33,33,10,141
2014-08-16,4,5,3,3,3,10,16,19,10,73
2014-08-16,5,56,5,5,10,26,16,5,10,138
2014-08-16,4,33,3,9,10,10,33,10,10,122
2014-08-16,4,5,7,5,6,10,6,10,28,81
2014-08-16,33,4,3,5,10,26,5,10,10,106
2014-08-16,19,9,11,10,10,3,24,10,10,106
2014-08-16,40,56,9,7,4,10,56,10,10,202
2014-08-16,56,19,6,10,6,6,5,3,16,127
2014-08-16,5,19,6,3,10,10,14,7,35,109
2014-08-16,10,4,14,6,10,10,26,10,10,100
2014-08-16,10,9,3,3,10,16,56,10,10,127
2014-08-16,5,33,3,17,10,10,10,10,35,133
2014-08-16,33,40,33,10,3,5,26,9,10,169
2014-08-16,5,33,7,3,10,26,3,10,10,107
2014-08-16,9,4,33,10,6,10,10,33,10,125
2014-08-16,56,24,5,3,5,10,6,33,10,152
2014-08-16,40,5,14,5,10,10,9,3,10,106
2014-08-16,33,40,13,9,10,10,10,10,10,145
2014-08-16,24,33,3,6,6,3,10,9,28,122
2014-08-16,33,4,11,10,6,10,56,3,10,143
2014-08-16,40,9,6,5,10,10,3,5,35,123
2014-08-16,4,19,6,17,6,10,13,10,28,113
2014-08-16,33,19,7,6,10,10,3,5,22,115
2014-08-16,9,40,17,3,6,10,3,10,22,120
2014-08-16,19,4,3,7,10,3,3,3,10,62
2014-08-16,40,19,14,5,10,13,16,19,22,158
2014-08-16,5,40,3,10,10,6,3,10,10,97
2014-08-16,10,56,3,10,10,10,11,16,10,136
2014-08-16,56,10,3,5,16,10,10,10,10,130
2014-08-16,24,10,3,5,3,26,13,3,22,109
2014-08-16,24,9,17,3,13,10,10,3,10,99
2014-08-16,5,19,10,7,6,16,10,33,28,134
2014-08-16,10,24,6,10,10,5,10,5,10,90
2014-08-16,4,40,33,3,16,10,10,3,22,141
2014-08-16,24,40,11,5,10,13,13,9,10,135
2014-08-16,56,40,5,10,10,10,9,6,10,156
2014-08-16,9,40,14,3,26,10,24,56,16,198
2014-08-16,10,40,9,3,5,10,6,16,10,109
2014-08-16,10,33,11,3,10,10,11,24,10,122
2014-08-16,33,5,3,11,10,13,10,3,10,98
2014-08-16,33,9,5,7,10,10,9,10,10,103
2014-08-16,10,5,3,7,3,6,10,6,22,72
2014-08-16,56,24,3,5,10,5,16,5,10,134
2014-08-16,19,33,6,5,26,10,33,3,10,145
2014-08-16,24,40,9,10,10,26,10,40,10,179
2014-08-16,33,56,13,3,26,3,3,24,22,183
2014-08-16,56,10,11,3,26,13,6,3,10,138
2014-08-16,24,4,14,10,10,10,56,10,10,148
2014-08-16,40,56,3,6,10,26,3,5,10,159
2014-08-16,40,9,5,9,10,10,10,5,10,108
2014-08-16,9,56,5,33,10,3,10,3,16,145
2014-08-16,24,56,7,13,10,10,5,6,10,141
2014-08-16,56,33,5,5,10,10,5,6,10,140
2014-08-16,33,24,7,6,10,6,3,10,10,109
2014-08-16,24,5,5,3,10,10,3,9,22,91
2014-08-16,10,5,33,14,3,10,6,24,10,115
2014-08-16,33,56,6,7,10,13,3,3,22,153
2014-08-16,9,10,6,3,10,10,3,3,10,64
2014-08-16,33,24,3,10,10,10,10,33,10,143
2014-08-16,24,33,3,3,10,10,10,10,10,113
2014-08-16,5,9,5,3,10,3,6,10,10,61
2014-08-16,19,33,3,3,3,10,13,10,10,104
2014-08-16,40,5,9,3,3,10,10,9,10,99
2014-08-16,40,9,6,5,26,10,9,26,10,141
2014-08-16,33,9,5,3,13,10,10,10,10,103
2014-08-16,9,4,5,3,10,13,10,4,28,86
2014-08-16,56,5,6,5,6,6,26,14,28,152
2014-08-16,40,56,7,3,10,10,24,56,10,216
2014-08-16,33,24,10,5,26,10,10,56,10,184
2014-08-16,9,4,33,6,3,10,3,4,10,82
2014-08-16,4,9,10,3,6,4,6,6,10,58
2014-08-16,33,56,10,7,4,6,56,10,10,192
2014-08-16,56,19,33,3,10,4,11,6,10,152
2014-08-16,4,40,3,5,4,10,5,33,10,114
2014-08-16,4,9,5,13,10,10,33,13,10,107
2014-08-16,4,9,17,6,10,10,10,5,10,81
2014-08-16,5,56,3,3,10,10,4,10,10,111
2014-08-16,24,5,10,17,13,5,10,5,10,99
2014-08-16,33,10,3,3,10,13,6,5,10,93
2014-08-16,56,40,3,9,3,10,5,16,16,158
2014-08-16,10,40,33,11,4,6,9,14,16,143
2014-08-16,56,33,3,7,3,10,13,9,16,150
2014-08-16,33,10,3,3,13,6,5,10,10,93
2014-08-16,10,56,3,10,6,10,10,9,10,124
2014-08-16,40,9,3,13,10,10,3,10,10,108
2014-08-16,56,4,3,3,10,6,5,33,10,130
2014-08-16,9,19,7,6,10,3,16,10,35,115
2014-08-16,19,56,3,3,3,6,5,17,10,122
2014-08-16,5,33,17,3,13,5,24,5,35,140
2014-08-16,56,33,17,7,6,10,40,10,22,201
2014-08-16,40,19,14,3,10,6,9,5,15,121
2014-08-16,4,24,7,13,10,10,10,10,15,103
2014-08-16,4,40,3,6,10,10,5,5,28,111
2014-08-16,33,4,7,3,5,16,3,19,10,100
