Date,F1,F2,M1,M2,D1,D2,U1,U2,G,Total
2014-08-16,22,3,17,6,26,16,30,10,10,140
2014-08-16,12,7,10,24,13,10,16,3,10,105
2014-08-16,3,3,5,5,10,10,2,16,10,64
2014-08-16,19,2,3,10,10,5,4,9,10,72
2014-08-16,19,56,10,3,10,26,5,3,35,167
2014-08-16,16,24,3,3,6,10,13,4,15,94
2014-08-16,10,2,24,17,3,6,16,7,28,113
2014-08-16,19,10,3,13,10,10,10,7,35,117
2014-08-16,2,2,17,7,6,10,24,33,22,123
2014-08-16,18,9,3,6,4,10,10,3,10,73
2014-08-16,24,4,3,7,10,10,2,3,10,73
2014-08-16,25,5,3,13,10,10,3,19,10,98
2014-08-16,3,4,7,13,10,6,3,3,10,59
2014-08-16,24,2,13,17,10,3,14,17,35,135
2014-08-16,7,22,30,3,6,10,4,3,16,101
2014-08-16,6,40,6,17,10,6,4,3,10,102
2014-08-16,5,33,3,7,13,3,3,3,10,80
2014-08-16,16,31,33,30,5,4,7,24,35,185
2014-08-16,2,9,7,17,10,13,30,3,22,113
2014-08-16,3,7,3,10,10,6,3,3,10,55
2014-08-16,19,40,10,3,3,10,20,16,22,143
2014-08-16,2,7,10,3,10,3,3,25,10,73
2014-08-16,2,3,3,3,10,10,10,10,10,61
2014-08-16,2,12,5,6,13,10,10,7,10,75
2014-08-16,40,2,10,17,10,3,3,2,35,122
2014-08-16,56,31,3,5,10,10,4,3,22,144
2014-08-16,22,18,3,5,10,3,13,3,28,105
2014-08-16,7,16,3,7,10,5,3,3,28,82
2014-08-16,2,12,3,6,10,6,7,4,10,60
2014-08-16,3,9,10,10,13,5,3,16,10,79
2014-08-16,18,20,17,7,10,6,10,2,10,100
2014-08-16,6,4,6,5,13,3,3,19,35,94
2014-08-16,31,5,17,3,10,10,4,4,28,112
2014-08-16,5,2,3,5,10,16,6,16,35,98
2014-08-16,6,19,5,11,10,10,4,7,10,82
2014-08-16,31,5,30,3,10,13,10,3,10,115
2014-08-16,2,22,13,5,10,10,24,16,16,118
2014-08-16,2,6,3,10,6,10,16,10,10,73
2014-08-16,4,2,3,13,10,10,10,2,10,64
2014-08-16,4,16,10,3,10,4,2,3,10,62
2014-08-16,12,3,10,24,10,10,19,3,10,101
2014-08-16,3,4,3,3,10,10,10,33,10,86
2014-08-16,56,9,6,10,10,6,5,3,35,140
2014-08-16,2,3,3,6,6,10,10,6,35,81
2014-08-16,3,24,7,17,16,13,6,3,10,99
2014-08-16,3,7,7,24,6,10,6,26,10,99
2014-08-16,2,16,3,5,10,10,3,18,10,77
2014-08-16,24,22,9,7,10,6,7,5,10,100
2014-08-16,22,16,17,10,10,26,19,2,22,144
2014-08-16,19,3,3,10,3,6,3,14,10,71
2014-08-16,4,2,10,3,4,10,16,2,10,61
2014-08-16,5,4,6,3,3,16,16,2,10,65
2014-08-16,2,56,7,10,10,10,2,7,28,132
2014-08-16,11,19,3,5,13,10,5,31,10,107
2014-08-16,19,40,24,3,3,10,2,4,10,115
2014-08-16,4,6,6,5,5,10,19,10,10,75
2014-08-16,2,12,9,13,3,3,4,10,10,66
2014-08-16,4,2,7,3,26,10,30,24,35,141
2014-08-16,2,2,3,5,10,10,20,4,10,66
2014-08-16,56,24,14,6,3,10,3,11,10,137
2014-08-16,7,7,3,7,10,10,3,2,28,77
2014-08-16,6,7,3,7,3,26,16,16,22,106
2014-08-16,7,3,7,17,10,10,9,24,10,97
2014-08-16,10,7,13,14,3,6,2,6,15,76
2014-08-16,7,2,14,10,3,10,13,17,10,86
2014-08-16,16,2,3,30,6,10,10,7,10,94
2014-08-16,19,4,17,5,6,10,10,2,10,83
2014-08-16,24,3,10,7,3,10,2,2,10,71
2014-08-16,3,3,3,3,16,10,2,2,10,52
2014-08-16,19,2,13,3,3,4,25,56,10,135
2014-08-16,4,2,17,7,10,10,10,2,15,77
2014-08-16,2,6,14,7,6,3,11,16,22,87
2014-08-16,2,11,6,30,10,10,19,7,10,105
2014-08-16,12,3,7,3,10,3,6,5,10,59
2014-08-16,2,3,7,5,6,10,2,2,10,47
2014-08-16,2,3,5,11,6,13,9,3,10,62
2014-08-16,3,10,3,3,10,10,9,31,10,89
