Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2010-04-05,9.0,15.0,29.5,6.0,15.0,3.0,9.0,36.0,12.0,134.5
2010-04-05,8.5,14.5,12.0,6.0,8.5,12.0,6.0,17.5,6.0,91.0
2010-04-05,8.0,3.0,8.5,15.0,29.5,3.0,6.0,13.0,8.5,94.5
2010-04-05,31.0,30.0,8.5,5.5,8.5,6.0,24.0,21.0,8.0,142.5
2010-04-05,8.0,14.5,14.0,6.0,6.0,29.5,8.0,33.0,37.5,156.5
2010-04-05,6.0,30.0,5.5,11.5,13.0,26.5,51.0,5.0,6.0,154.5
2010-04-05,8.5,32.5,9.0,16.5,8.5,24.0,14.5,5.0,19.5,138.0
2010-04-05,5.0,18.0,8.5,13.5,29.5,22.0,5.0,6.0,14.5,122.0
2010-04-05,9.0,20.5,8.5,25.0,29.5,29.5,11.0,19.0,35.5,187.5
2010-04-05,28.5,3.0,57.0,14.5,8.5,27.0,36.0,12.0,5.0,191.5
2010-04-06,4.5,24.0,23.5,5.0,3.0,33.0,5.5,15.0,5.5,119.0
2010-04-06,5.5,9.0,27.0,12.0,13.0,8.5,6.0,5.5,15.0,101.5
2010-04-06,6.5,12.0,23.5,6.0,40.0,13.0,9.0,11.5,12.0,133.5
2010-04-06,11.5,24.0,5.0,5.5,6.0,6.0,9.0,6.0,11.5,84.5
2010-04-06,24.5,24.0,23.5,5.5,40.0,8.5,9.0,6.0,6.0,147.0
2010-04-06,6.5,9.0,27.0,6.0,9.0,8.5,14.5,22.0,6.0,108.5
2010-04-06,5.5,6.0,5.0,5.0,11.5,33.0,9.0,5.5,24.0,104.5
2010-04-06,5.5,12.0,29.5,12.0,6.0,20.0,12.0,14.5,9.0,120.5
2010-04-06,9.0,9.0,9.0,12.0,6.0,6.0,5.5,12.0,14.5,83.0
2010-04-06,8.0,6.0,5.0,6.0,6.0,8.5,17.5,5.5,5.5,68.0
2010-04-07,23.0,23.5,8.5,6.0,22.0,11.5,15.0,5.0,25.5,140.0
2010-04-07,17.0,8.5,8.5,9.0,13.5,5.5,5.5,8.5,31.0,107.0
2010-04-07,23.0,16.5,8.5,5.0,9.0,24.0,5.0,8.0,24.0,123.0
2010-04-07,6.0,3.0,8.5,8.5,30.0,9.0,21.0,5.0,6.0,97.0
2010-04-07,20.5,8.5,10.5,9.0,28.5,18.0,8.5,6.0,11.0,120.5
2010-04-07,3.5,6.0,11.0,8.5,40.5,5.5,9.0,5.0,5.0,94.0
2010-04-07,18.5,5.5,8.5,6.0,14.5,6.0,6.0,11.5,21.0,97.5
2010-04-07,23.0,12.0,32.5,20.5,5.5,33.0,12.0,9.0,20.0,167.5
2010-04-07,5.5,3.0,8.5,8.5,40.5,5.5,9.0,6.0,9.0,95.5
2010-04-07,8.5,12.0,6.0,9.0,13.5,8.0,13.5,12.0,8.5,91.0
2010-04-08,5.5,3.0,14.5,10.5,6.0,5.5,8.5,12.0,11.5,77.0
2010-04-08,9.0,12.0,12.0,12.0,28.5,17.5,6.0,5.5,11.5,114.0
2010-04-08,9.0,11.5,6.0,6.0,6.0,3.0,15.0,21.0,8.5,86.0
2010-04-08,11.5,11.5,36.0,8.5,5.5,3.0,5.5,10.0,11.0,102.5
2010-04-08,7.0,3.0,14.5,6.0,15.0,22.0,5.5,5.5,5.0,83.5
2010-04-08,6.0,11.5,14.5,9.0,8.5,22.0,12.0,5.5,8.5,97.5
2010-04-08,8.0,12.0,15.0,6.0,28.5,5.5,5.5,27.0,11.5,119.0
2010-04-08,15.0,3.0,8.0,8.5,5.5,9.0,23.0,5.5,10.0,87.5
2010-04-08,5.5,11.5,12.0,14.5,6.0,9.0,39.0,5.5,20.0,123.0
2010-04-08,4.5,18.0,6.0,12.0,6.0,17.5,12.0,5.0,5.5,86.5
2010-04-09,16.5,3.0,5.5,9.0,12.0,6.0,5.5,11.0,8.5,77.0
2010-04-09,13.5,5.5,30.0,12.0,35.5,3.0,13.5,45.0,12.0,170.0
2010-04-09,9.0,5.5,32.5,30.0,6.0,9.0,15.0,11.5,8.5,127.0
