Date,G1,G2,G3,F1,F2,F3,C,U1,U2,Total
2010-10-27,17.0,9.5,20.5,14.5,22.0,11.0,29.0,25.0,23.5,172.0
2010-10-27,12.5,23.0,13.0,13.0,17.5,30.0,20.0,14.5,11.0,154.5
2010-10-27,11.0,9.5,24.5,25.0,23.5,13.0,10.5,25.0,13.0,155.0
2010-10-27,35.0,22.5,29.5,17.5,20.0,7.5,20.0,18.5,11.0,181.5
2010-10-27,20.5,20.0,7.5,15.0,22.0,21.0,11.0,18.0,25.0,160.0
2010-10-27,8.0,20.5,12.0,8.5,13.0,16.0,11.0,11.0,29.0,129.0
2010-10-27,12.0,30.0,19.0,18.5,9.5,16.0,26.0,37.5,15.5,184.0
2010-10-27,21.0,10.0,39.0,14.0,22.5,17.5,11.0,45.0,29.0,209.0
2010-10-27,23.0,15.5,7.5,17.5,8.5,25.0,10.5,23.5,12.0,143.0
2010-10-27,16.5,7.5,11.0,24.0,15.5,15.5,10.0,16.0,23.0,139.0
2010-10-29,19.5,8.5,26.5,12.5,31.0,15.5,21.5,7.5,20.5,163.0
2010-10-29,19.5,12.0,16.0,14.0,17.5,29.5,12.0,10.5,31.0,162.0
2010-10-29,13.5,21.5,20.5,9.0,18.0,18.0,35.0,21.5,29.5,186.5
2010-10-29,27.0,27.0,20.5,13.5,8.5,7.5,14.0,16.5,24.0,158.5
2010-10-29,18.0,16.0,12.0,19.5,14.0,22.5,10.0,7.0,31.0,150.0
2010-10-29,13.5,19.5,27.0,24.0,16.5,31.0,20.5,13.5,14.0,179.5
2010-10-29,18.5,8.0,16.0,23.0,24.5,12.5,11.5,26.0,27.0,167.0
2010-10-29,19.5,12.0,12.0,27.0,22.0,11.5,13.5,24.0,7.5,149.0
2010-10-29,41.5,21.0,39.0,7.0,10.5,24.0,9.5,9.0,14.0,175.5
2010-10-29,26.5,18.5,18.0,10.0,20.5,10.5,11.0,12.0,10.0,137.0
2010-10-30,22.0,17.5,16.5,30.5,27.5,9.5,16.5,13.5,35.5,189.0
2010-10-30,13.5,36.0,14.5,9.5,18.0,16.5,7.5,12.0,12.5,140.0
2010-10-30,12.0,17.5,25.5,17.0,27.0,15.5,13.0,25.0,8.0,160.5
2010-10-30,16.5,16.5,25.5,14.0,19.0,23.0,7.5,14.5,8.0,144.5
2010-10-30,16.5,13.0,10.0,14.0,8.0,9.0,18.5,33.0,13.0,135.0
2010-10-30,25.5,17.0,9.0,29.5,13.5,11.5,7.5,13.0,24.5,151.0
2010-10-30,7.5,24.5,41.0,8.0,22.5,35.5,9.0,12.5,13.5,174.0
2010-10-30,21.5,30.0,30.0,12.5,13.0,14.5,23.0,41.0,7.0,192.5
2010-10-30,15.0,13.5,41.0,30.5,13.5,35.5,16.5,23.0,25.5,214.0
2010-10-30,30.0,15.0,13.0,20.5,18.0,9.0,9.0,9.0,12.0,135.5
2010-11-02,14.5,30.5,18.5,26.5,8.0,8.0,15.5,21.0,8.0,150.5
2010-11-02,9.5,19.5,14.0,17.0,9.5,9.0,21.0,12.0,15.5,127.0
2010-11-02,14.5,8.0,9.5,18.5,15.5,21.5,9.5,16.0,15.5,128.5
2010-11-02,14.5,28.0,12.0,26.5,9.5,16.0,7.5,7.0,15.5,136.5
2010-11-02,14.0,9.5,14.5,9.5,21.5,18.0,7.5,12.5,23.0,130.0
2010-11-02,16.0,17.5,28.0,8.0,21.0,17.0,15.5,8.0,18.5,149.5
2010-11-02,8.0,23.0,21.0,24.5,8.0,17.0,11.5,15.5,41.0,169.5
2010-11-02,28.0,11.5,15.0,30.5,21.5,21.5,11.5,17.0,19.5,176.0
2010-11-02,14.0,41.0,14.5,30.0,9.5,7.5,7.5,20.5,15.5,160.0
2010-11-02,13.0,8.0,13.0,26.5,28.5,9.0,7.5,19.5,21.0,146.0
2010-11-03,14.5,17.0,19.0,9.5,10.0,17.5,18.0,17.0,24.5,147.0
2010-11-03,15.0,20.5,38.0,8.0,12.5,8.5,39.0,11.5,15.5,168.5
2010-11-03,13.5,25.5,19.5,18.5,24.5,17.0,14.0,24.5,16.5,173.5
2010-11-03,19.5,17.0,13.5,17.5,7.0,14.0,10.5,39.0,21.5,159.5
2010-11-03,24.0,20.0,26.5,25.5,42.0,14.0,10.5,19.5,16.0,198.0
2010-11-03,8.0,9.0,46.5,17.0,17.5,34.0,12.0,16.5,14.0,174.5
2010-11-03,18.5,19.5,14.0,10.5,10.0,20.5,16.5,11.5,17.0,138.0
2010-11-03,8.5,46.5,26.5,18.0,17.5,19.0,16.0,17.0,16.5,185.5
2010-11-03,10.0,9.0,25.0,9.0,13.5,19.0,16.5,15.5,20.0,137.5
2010-11-03,9.5,9.0,17.0,22.0,26.5,9.0,14.0,12.0,40.0,159.0
2010-11-05,27.0,43.5,27.0,13.0,22.5,8.0,40.0,9.0,9.0,199.0
2010-11-05,14.5,16.5,20.5,32.0,13.0,27.0,10.5,8.5,21.5,164.0
2010-11-05,15.5,17.0,17.0,9.0,13.5,19.5,13.0,19.5,40.0,164.0
2010-11-05,17.0,27.0,7.0,29.0,25.0,19.5,8.5,35.5,20.5,189.0
2010-11-05,18.5,25.0,27.0,20.5,13.5,35.0,8.5,26.0,13.0,187.0
2010-11-05,26.0,11.5,25.0,34.0,17.5,14.5,9.0,16.0,17.0,170.5
2010-11-05,21.5,14.5,10.0,14.5,16.0,16.0,19.0,13.0,13.0,137.5
2010-11-05,22.0,17.0,23.5,8.5,30.0,21.5,8.5,11.5,8.5,151.0
2010-11-05,28.0,7.5,24.0,14.5,19.5,13.0,14.5,9.0,24.5,154.5
2010-11-05,7.0,17.0,22.0,20.5,13.5,14.5,10.5,7.5,16.0,128.5
2010-11-06,21.5,17.5,9.5,12.0,15.0,16.0,24.0,21.5,20.0,157.0
2010-11-06,15.5,37.0,30.5,35.5,10.0,10.5,13.0,7.5,20.0,179.5
2010-11-06,26.0,28.5,21.0,10.5,11.0,11.5,31.0,13.5,21.0,174.0
2010-11-06,18.5,16.0,15.0,22.0,24.5,12.0,21.5,15.5,8.0,153.0
2010-11-06,37.0,15.0,15.5,15.0,11.0,22.0,10.5,16.0,16.0,158.0
2010-11-06,7.5,8.5,21.5,18.5,10.5,12.0,31.0,25.5,28.0,163.0
2010-11-06,18.5,27.0,9.5,32.0,14.0,18.5,28.0,11.0,15.5,174.0
2010-11-06,21.0,37.0,19.0,24.0,21.5,35.5,10.5,23.5,13.5,205.5
2010-11-06,15.0,23.0,37.0,36.0,30.5,8.5,29.0,36.0,16.0,231.0
2010-11-06,7.5,17.5,12.5,20.0,18.5,33.5,28.0,14.0,7.5,159.0
2010-11-07,16.5,14.5,16.5,7.0,21.5,31.0,10.5,7.5,10.5,135.5
2010-11-07,25.5,26.0,14.5,17.5,12.0,27.5,16.0,14.5,10.0,163.5
2010-11-07,14.5,10.0,8.0,14.5,21.5,11.0,10.5,24.0,9.5,123.5
2010-11-07,25.5,14.5,29.0,7.0,20.0,16.5,17.0,30.0,14.5,174.0
2010-11-07,27.5,16.5,17.5,14.5,10.0,21.5,16.5,44.5,27.5,196.0
2010-11-07,29.0,38.0,16.5,16.5,24.0,13.5,41.0,10.0,11.5,200.0
2010-11-07,11.0,7.5,14.5,31.0,8.5,44.5,9.5,16.5,20.5,163.5
2010-11-07,13.5,20.5,14.5,11.0,32.5,10.5,10.5,14.0,21.5,148.5
2010-11-07,14.5,16.0,15.5,18.0,16.5,44.5,14.0,10.0,21.5,170.5
2010-11-07,20.5,34.5,17.5,20.5,10.5,32.5,41.0,14.5,44.5,236.0
2010-11-08,28.5,11.0,9.0,11.5,26.0,12.5,24.0,8.5,12.5,143.5
2010-11-08,8.0,11.0,11.0,8.0,11.0,25.5,24.0,11.5,15.5,125.5
2010-11-08,33.5,10.5,19.5,12.0,11.0,32.5,26.5,27.5,15.5,188.5
2010-11-08,33.5,19.5,17.5,24.0,8.0,16.0,9.5,8.0,12.5,148.5
2010-11-08,28.5,25.5,11.0,12.5,7.5,16.5,10.0,19.5,15.0,146.0
2010-11-08,16.0,35.0,17.5,9.5,11.5,32.5,12.0,14.0,13.0,161.0
2010-11-08,17.5,8.0,9.0,8.0,22.5,27.5,12.0,15.0,11.0,130.5
2010-11-08,18.5,28.5,10.5,16.5,8.0,9.5,34.5,18.5,10.0,154.5
2010-11-08,35.0,26.5,11.0,32.5,24.0,14.5,33.0,8.0,28.5,213.0
2010-11-08,11.0,18.5,11.0,9.5,11.5,22.5,11.5,33.0,24.0,152.5
2010-11-09,9.5,15.0,9.5,15.0,20.0,37.5,19.0,7.5,22.5,155.5
2010-11-09,26.5,34.0,22.0,8.5,16.5,16.0,23.5,17.0,15.5,179.5
2010-11-09,22.5,11.0,19.5,17.0,12.5,19.5,22.5,12.0,8.5,145.0
2010-11-09,31.5,11.0,19.5,45.5,24.5,16.5,16.5,29.5,12.0,206.5
2010-11-09,10.0,10.0,11.0,37.5,17.0,46.5,8.5,12.0,8.5,161.0
2010-11-09,15.5,11.0,8.5,8.5,29.5,13.0,10.0,15.0,17.5,128.5
2010-11-09,22.0,9.5,22.5,16.5,15.0,29.0,16.5,12.5,34.0,177.5
2010-11-09,10.0,22.5,12.5,19.5,7.5,19.5,8.5,9.5,22.0,131.5
2010-11-09,22.0,34.0,22.0,10.5,15.0,15.5,14.5,12.5,7.5,153.5
2010-11-09,22.0,34.0,8.5,19.5,8.5,10.5,22.5,29.5,7.5,162.5
2010-11-10,9.0,14.0,8.5,17.5,7.0,14.0,11.0,18.0,10.5,109.5
2010-11-10,8.5,7.5,37.5,21.5,11.5,10.5,12.0,11.0,12.5,132.5
2010-11-10,13.0,16.5,8.5,13.5,7.0,15.0,14.0,19.5,31.0,138.0
2010-11-10,34.5,11.0,7.5,8.5,13.5,9.5,20.5,13.0,14.5,132.5
2010-11-10,8.5,16.0,18.0,8.5,14.5,25.5,20.5,16.0,11.5,139.0
2010-11-10,26.5,18.5,21.0,13.0,20.5,13.5,18.5,31.0,25.0,187.5
2010-11-10,29.0,11.0,18.0,10.5,12.0,21.0,11.0,37.5,10.5,160.5
2010-11-10,8.0,14.0,12.5,22.0,28.0,9.5,14.5,21.5,26.0,156.0
2010-11-10,7.5,29.0,26.5,20.5,12.0,30.5,22.0,18.5,24.5,191.0
2010-11-10,13.0,27.0,47.0,9.0,8.0,22.0,10.0,21.5,9.0,166.5
2010-11-12,23.0,7.5,19.0,20.5,17.0,17.0,16.5,23.0,28.0,171.5
2010-11-12,20.5,7.5,15.0,8.0,7.0,13.5,12.0,13.5,30.5,127.5
2010-11-12,13.0,23.5,29.0,17.0,22.5,15.0,10.0,24.0,16.0,170.0
2010-11-12,9.0,23.0,30.5,31.5,8.0,18.0,28.0,20.5,21.5,190.0
2010-11-12,35.0,12.5,7.5,22.5,21.0,17.0,17.0,14.5,15.5,162.5
2010-11-12,14.0,30.5,23.0,13.0,13.5,31.5,16.0,17.5,9.0,168.0
2010-11-12,21.0,14.0,26.5,17.5,11.0,38.5,23.5,38.0,16.0,206.0
2010-11-12,13.0,20.5,17.0,13.0,34.5,7.0,22.0,15.5,9.0,151.5
2010-11-12,20.5,9.5,35.0,22.0,28.0,38.5,22.0,28.0,14.0,217.5
2010-11-12,26.5,20.5,30.5,21.5,9.5,31.5,24.0,38.0,15.0,217.0
2010-11-13,8.0,30.5,14.0,26.0,16.0,11.0,16.5,7.0,25.5,154.5
2010-11-13,16.5,16.0,31.5,19.0,8.5,7.5,8.0,13.5,9.5,130.0
2010-11-13,31.0,18.5,18.5,10.5,13.5,28.0,16.5,15.5,16.5,168.5
2010-11-13,13.5,18.5,23.5,13.0,27.5,11.5,16.5,30.5,16.5,171.0
2010-11-13,9.5,16.0,28.5,13.5,7.5,25.5,31.0,30.5,23.0,185.0
2010-11-13,33.5,18.5,31.5,16.5,9.0,7.0,11.5,17.5,17.0,162.0
2010-11-13,9.5,11.5,16.0,15.0,20.5,24.5,23.0,22.0,23.5,165.5
2010-11-13,31.0,12.5,17.0,17.5,20.5,14.5,16.5,11.5,11.0,152.0
2010-11-13,29.5,23.0,14.0,15.5,24.5,15.5,44.0,11.5,18.0,195.5
2010-11-13,12.5,15.5,11.5,13.0,14.5,28.0,29.0,13.5,25.0,162.5
2010-11-15,10.5,10.0,20.5,10.5,13.0,10.0,15.5,19.5,15.5,125.0
2010-11-15,27.0,10.5,22.0,23.5,26.0,11.5,7.5,16.0,40.5,184.5
