Date,G1,G2,G3,G4,F1,F2,F3,F4,U,Total
2010-11-12,7.5,9.0,5.0,9.5,8.0,15.5,20.5,15.0,9.0,99.0
2010-11-12,17.5,12.5,9.5,12.0,5.0,22.0,13.5,11.5,13.5,117.0
2010-11-12,12.5,23.0,24.5,5.5,5.5,20.5,6.0,5.5,13.0,116.0
2010-11-12,19.5,24.0,7.0,15.5,8.0,5.0,6.5,13.5,11.0,110.0
2010-11-12,13.5,8.5,10.0,5.5,13.0,12.5,18.0,20.5,17.5,119.0
2010-11-12,17.5,13.5,12.0,10.0,15.5,10.5,5.0,20.5,6.5,111.0
2010-11-12,24.5,7.0,7.5,21.0,15.0,18.0,6.0,4.5,6.0,109.5
2010-11-12,8.5,18.0,5.0,11.5,10.5,5.0,15.0,12.5,6.5,92.5
2010-11-12,7.0,7.0,8.5,14.0,6.0,22.0,6.5,36.5,10.5,118.0
2010-11-12,6.5,23.0,23.5,7.0,17.5,10.0,16.5,12.0,6.0,122.0
2010-11-13,11.5,7.0,11.0,10.0,5.0,10.5,25.0,22.0,5.5,107.5
2010-11-13,7.0,8.5,20.0,6.0,13.0,14.5,10.5,6.0,10.5,96.0
2010-11-13,26.0,15.0,11.5,9.0,24.0,12.5,21.0,22.0,9.5,150.5
2010-11-13,10.0,15.5,19.5,13.5,17.5,16.5,15.0,12.5,11.5,131.5
2010-11-13,28.5,7.0,11.0,7.0,12.0,25.0,6.0,34.5,8.0,139.0
2010-11-13,6.5,15.0,26.0,9.5,6.0,10.0,34.5,15.0,5.5,128.0
2010-11-13,6.0,10.5,8.0,7.0,18.5,11.0,5.5,12.0,28.5,107.0
2010-11-13,10.5,16.0,21.5,5.5,15.5,6.0,36.5,23.0,8.5,143.0
2010-11-13,13.0,23.0,6.0,16.5,20.5,15.5,7.5,8.0,21.0,131.0
2010-11-13,11.5,19.5,8.5,21.0,16.5,8.0,30.0,12.5,10.5,138.0
2010-11-14,6.5,8.0,23.5,15.5,23.0,24.0,10.5,12.5,6.5,130.0
2010-11-14,8.0,6.0,19.0,14.5,11.5,23.0,28.5,16.5,20.5,147.5
2010-11-14,6.0,9.0,10.0,7.0,8.5,8.5,23.0,7.0,20.0,99.0
2010-11-14,6.5,7.5,17.0,11.0,12.0,19.5,13.5,5.5,36.0,128.5
2010-11-14,17.5,5.0,5.5,5.5,11.0,15.0,6.5,7.5,27.0,100.5
2010-11-14,17.5,8.5,16.0,11.0,16.0,18.5,6.5,28.5,16.0,138.5
2010-11-14,19.0,19.0,10.5,24.0,15.0,21.5,15.0,10.5,19.5,154.0
2010-11-14,11.5,26.5,13.5,5.5,25.5,15.0,5.0,23.0,9.5,135.0
2010-11-14,6.5,14.5,6.0,6.0,14.5,14.0,15.0,15.0,17.0,108.5
2010-11-14,11.5,7.0,20.0,5.5,16.5,29.5,8.0,8.5,6.0,112.5
2010-11-15,27.0,8.5,12.0,12.0,16.5,29.5,5.5,16.5,21.5,149.0
2010-11-15,7.5,9.0,15.5,19.0,5.0,5.5,8.0,32.5,15.5,117.5
2010-11-15,9.0,12.5,9.0,19.5,8.0,13.5,18.0,19.5,7.0,116.0
2010-11-15,9.5,6.0,20.5,13.0,19.5,15.0,22.0,13.0,15.5,134.0
2010-11-15,11.0,12.0,16.0,16.5,19.0,10.0,18.0,16.0,7.0,125.5
2010-11-15,12.0,6.0,7.0,14.5,16.0,15.5,10.0,6.0,15.0,102.0
2010-11-15,10.0,5.0,5.5,12.0,22.0,17.0,19.0,9.0,11.5,111.0
2010-11-15,12.5,18.0,8.0,17.5,6.5,10.0,15.5,12.5,11.5,112.0
2010-11-15,22.0,10.0,9.5,12.0,7.0,13.5,10.5,18.0,13.0,115.5
2010-11-15,6.5,15.5,8.5,13.0,25.5,8.0,13.0,21.0,12.0,123.0
2010-11-16,21.5,14.0,7.0,14.5,13.0,9.0,13.0,11.5,11.0,114.5
2010-11-16,5.5,12.0,15.0,20.0,11.0,15.5,10.0,22.5,10.0,121.5
2010-11-16,17.0,10.5,22.5,13.0,25.0,21.0,15.5,8.0,20.0,152.5
2010-11-16,12.5,7.0,20.5,10.5,20.0,13.0,7.5,5.5,17.0,113.5
2010-11-16,12.0,26.0,6.5,11.0,6.0,20.0,5.5,21.0,17.0,125.0
2010-11-16,9.0,9.0,10.5,14.5,22.5,17.5,7.5,9.0,14.0,113.5
2010-11-16,6.0,7.0,23.0,10.5,36.0,32.0,6.0,8.0,6.0,134.5
2010-11-16,14.0,10.0,8.0,15.0,15.5,9.5,7.5,8.0,6.0,93.5
2010-11-16,20.5,15.0,5.5,14.5,16.0,14.0,11.0,21.5,17.5,135.5
2010-11-16,10.5,11.0,13.5,10.0,15.0,6.5,24.5,22.0,6.5,119.5
