Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2009-09-03,9.9,14.6,9.8,20.9,4.7,5.3,6.4,3.0,9.0,83.6
2009-09-03,22.3,20.6,14.9,3.6,9.0,5.0,4.5,3.4,3.0,86.3
2009-09-03,30.9,11.3,2.5,4.3,20.3,25.7,18.8,9.0,7.4,130.2
2009-09-03,14.6,18.9,7.3,3.6,6.4,5.5,21.2,2.6,8.8,88.9
2009-09-03,18.9,11.2,8.8,3.5,6.4,4.5,3.9,11.2,8.3,76.7
2009-09-03,11.3,20.6,8.8,3.6,3.1,3.3,37.1,9.4,3.5,100.7
2009-09-03,22.3,18.2,3.0,5.2,2.8,4.5,6.4,3.4,17.3,83.1
2009-09-03,9.9,14.6,2.0,3.4,8.4,7.4,11.3,6.2,34.3,97.5
2009-09-03,11.3,14.6,3.6,7.3,7.4,10.7,4.7,9.0,18.8,87.4
2009-09-03,18.2,6.5,9.3,2.0,3.3,18.8,2.8,3.7,11.3,75.9
2009-09-05,9.0,10.6,16.1,11.5,15.3,8.6,19.2,5.7,8.6,104.6
2009-09-05,27.9,6.1,8.9,6.2,9.1,4.7,5.2,11.6,4.6,84.3
2009-09-05,10.3,7.8,2.3,7.2,15.1,9.7,8.8,3.8,4.8,69.8
2009-09-05,8.0,13.5,7.2,11.8,5.0,9.4,3.8,2.2,7.7,68.6
2009-09-05,11.9,6.8,8.4,3.5,11.9,4.1,8.6,7.4,11.3,73.9
2009-09-05,11.9,7.0,2.1,3.0,15.5,3.2,18.3,8.7,5.6,75.3
2009-09-05,8.3,7.8,2.3,9.0,18.5,7.7,3.4,24.3,3.2,84.5
2009-09-05,6.7,7.5,6.4,15.6,6.5,10.7,10.8,2.5,6.9,73.6
2009-09-05,19.3,7.9,3.4,11.8,11.1,5.6,4.1,12.6,29.7,105.5
2009-09-05,16.7,19.0,8.7,24.5,10.0,3.2,12.5,9.1,2.3,106.0
2009-09-12,16.6,15.9,6.4,4.0,16.4,3.5,10.1,3.6,2.9,79.4
2009-09-12,12.6,20.6,7.8,2.2,3.6,7.5,26.4,2.2,12.9,95.8
2009-09-12,13.2,28.7,3.2,14.5,3.9,3.5,7.4,2.7,15.5,92.6
2009-09-12,4.3,31.2,6.8,9.6,12.2,12.6,3.3,5.3,33.3,118.6
2009-09-12,34.7,8.9,4.4,7.2,5.0,8.9,3.5,3.6,7.8,84.0
2009-09-12,7.8,15.3,4.9,30.6,8.4,5.1,12.1,3.4,22.3,109.9
2009-09-12,13.7,12.6,2.2,10.9,4.0,7.7,8.4,7.5,9.2,76.2
2009-09-12,7.3,49.3,2.1,12.8,4.9,10.9,3.8,2.4,8.2,101.7
2009-09-12,7.6,12.8,16.9,13.8,16.0,26.2,7.5,3.0,6.5,110.3
2009-09-12,20.5,17.1,27.3,10.4,2.9,15.9,20.7,7.5,3.5,125.8
2009-09-19,4.9,18.5,20.2,2.6,11.1,10.7,3.4,2.6,6.1,80.1
2009-09-19,16.6,14.9,21.3,5.8,4.7,3.0,14.9,3.7,7.1,92.0
