Date,QB,RB1,RB2,WR1,WR2,WR3,TE,UTIL,D,Total
2009-08-09,10.4,5.5,8.7,4.4,6.8,9.8,3.0,10.8,5.0,64.4
2009-08-09,5.3,5.2,5.1,15.7,7.6,6.8,2.7,8.8,7.0,64.2
2009-08-09,7.5,11.4,4.3,7.2,12.3,6.8,4.5,10.8,7.0,71.8
2009-08-09,4.3,2.4,5.5,6.1,10.2,4.5,4.9,3.0,4.0,44.9
2009-08-09,4.6,5.5,12.0,26.0,4.5,4.8,4.5,12.3,4.0,78.2
2009-08-09,8.0,8.2,4.2,4.8,6.8,6.8,6.0,3.2,7.0,55.0
2009-08-09,7.5,5.1,4.2,26.0,10.8,6.0,3.4,9.5,3.0,75.5
2009-08-09,8.0,3.1,2.4,3.8,10.8,4.8,3.4,6.2,7.0,49.5
2009-08-09,13.7,4.3,16.8,4.3,4.5,5.5,4.9,9.5,7.0,70.5
2009-08-09,10.4,5.2,4.3,6.0,6.1,8.6,4.5,5.5,5.0,55.6
2009-08-13,10.1,3.0,4.8,5.3,4.3,5.9,3.2,3.8,6.0,46.4
2009-08-13,4.6,5.5,8.8,4.3,10.9,4.8,3.4,12.7,4.0,59.0
2009-08-13,4.7,6.9,10.8,5.5,4.5,19.9,4.5,3.0,7.0,66.8
2009-08-13,7.7,6.4,2.4,3.6,3.1,26.0,3.4,3.0,7.0,62.6
2009-08-13,5.7,5.2,3.2,3.6,7.6,10.2,4.5,3.8,4.0,47.8
2009-08-13,4.3,2.6,5.5,6.8,3.1,8.0,6.1,5.3,3.0,44.7
2009-08-13,5.3,9.1,6.4,3.7,11.5,7.2,7.3,3.8,18.0,72.3
2009-08-13,7.5,5.2,12.7,6.0,3.1,10.2,8.2,17.1,10.0,80.0
2009-08-13,4.5,5.4,15.2,3.8,12.3,4.8,4.9,9.5,8.0,68.4
2009-08-13,4.2,3.9,5.5,4.3,5.5,3.8,3.0,2.7,20.0,52.9
2009-08-14,8.1,3.7,5.1,16.1,4.4,8.6,3.1,3.0,6.0,58.1
2009-08-14,7.9,5.5,5.4,5.6,4.3,12.0,3.1,7.2,7.0,58.0
2009-08-14,10.9,7.8,5.2,26.0,6.0,4.7,11.6,8.8,6.0,87.0
2009-08-14,8.0,5.2,4.4,4.4,3.6,4.4,11.6,6.4,18.0,66.0
2009-08-14,9.1,10.1,3.9,8.4,26.0,6.8,6.1,7.3,10.0,87.7
2009-08-14,4.6,4.5,5.4,5.7,6.0,4.3,3.4,10.9,3.0,47.8
2009-08-14,5.7,3.0,4.2,8.6,3.2,5.3,3.4,3.1,8.0,44.5
2009-08-14,10.9,4.8,5.9,4.3,4.3,8.6,4.0,5.5,7.0,55.3
2009-08-14,4.6,9.1,8.1,4.7,8.4,5.6,9.5,5.1,18.0,73.1
2009-08-14,4.3,4.2,4.2,5.9,17.1,7.0,4.9,3.1,10.0,60.7
2009-08-15,5.7,5.4,3.7,8.4,4.2,11.5,7.8,7.9,10.0,64.6
2009-08-15,6.0,8.8,12.7,4.3,8.4,5.6,3.2,3.2,10.0,62.2
2009-08-15,8.3,4.1,5.2,7.9,4.3,4.7,2.9,3.4,4.0,44.8
2009-08-15,8.1,8.8,5.9,9.7,3.2,7.0,2.9,19.9,9.0,74.5
2009-08-15,5.5,23.8,12.7,5.6,3.5,8.4,4.7,4.2,9.0,77.4
2009-08-15,8.1,12.3,4.1,3.1,3.8,7.0,8.8,3.1,4.0,54.3
2009-08-15,10.1,4.1,5.2,4.3,3.1,7.3,4.0,11.9,10.0,60.0
2009-08-15,8.1,5.2,3.6,8.0,11.5,3.1,3.4,11.9,4.0,58.8
2009-08-15,4.7,5.4,23.8,11.5,10.9,4.3,8.8,3.2,6.0,78.6
2009-08-15,5.7,4.1,5.2,7.3,7.0,12.0,11.6,11.1,4.0,68.0
2009-08-17,5.5,5.4,11.1,6.0,4.0,15.6,3.4,4.9,4.0,59.9
2009-08-17,5.5,14.6,5.4,8.1,6.0,8.4,3.5,4.5,3.0,59.0
2009-08-17,7.0,17.7,6.3,4.0,7.5,10.6,3.6,3.5,9.0,69.2
2009-08-17,5.5,14.4,7.3,12.6,4.5,8.1,9.0,10.4,3.0,74.8
2009-08-17,6.8,17.7,3.1,4.2,4.1,11.6,3.6,9.3,12.0,72.4
2009-08-17,5.5,23.7,3.9,3.3,10.5,5.3,5.3,13.7,3.0,74.2
2009-08-17,8.5,5.3,13.7,10.5,3.4,4.9,7.6,6.0,4.0,63.9
2009-08-17,10.7,2.5,6.0,10.7,6.5,9.3,10.4,2.4,3.0,61.5
2009-08-17,6.7,9.7,3.9,3.4,4.3,6.9,3.0,7.8,4.0,49.7
2009-08-17,8.8,9.2,3.2,4.0,3.5,15.6,17.3,2.7,3.0,67.3
2009-08-20,4.6,3.5,5.4,15.1,12.7,8.1,7.6,5.0,9.0,71.0
