Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-10-08,12.0,7.5,28.5,3.0,3.0,7.5,13.5,6.0,30.599999999999994,111.6
2010-10-08,3.0,7.5,13.5,4.5,4.5,6.0,7.5,6.0,21.0,73.5
2010-10-08,18.0,7.5,9.0,6.0,7.5,7.5,6.0,9.0,11.4,81.9
2010-10-08,6.0,18.0,9.0,9.0,16.5,7.5,7.5,6.0,27.600000000000001,107.1
2010-10-08,7.5,13.5,13.5,21.0,12.0,7.5,7.5,15.0,27.600000000000001,125.1
2010-10-08,7.5,9.0,4.5,13.5,3.0,6.0,7.5,16.5,16.199999999999999,83.7
2010-10-08,3.0,6.0,12.0,3.0,18.0,7.5,6.0,7.5,20.399999999999999,83.4
2010-10-08,7.5,12.0,6.0,6.0,3.0,4.5,6.0,13.5,18.600000000000001,77.1
2010-10-08,9.0,7.5,3.0,3.0,18.0,4.5,13.5,7.5,16.199999999999999,82.2
2010-10-08,18.0,7.5,3.0,4.5,3.0,7.5,13.5,9.0,14.4,80.4
2010-10-09,10.5,4.5,3.0,13.5,13.5,21.0,16.5,3.0,18.600000000000001,104.1
2010-10-09,7.5,6.0,10.5,9.0,16.5,4.5,7.5,4.5,19.800000000000001,85.8
2010-10-09,7.5,10.5,13.5,7.5,10.5,12.0,13.5,6.0,18.600000000000001,99.6
2010-10-09,7.5,15.0,24.0,12.0,7.5,9.0,4.5,7.5,16.199999999999999,103.2
2010-10-09,12.0,4.5,4.5,9.0,31.5,13.5,21.0,15.0,15.599999999999998,126.6
2010-10-09,7.5,10.5,16.5,13.5,16.5,6.0,16.5,3.0,16.199999999999999,106.2
2010-10-09,18.0,4.5,10.5,12.0,6.0,13.5,4.5,15.0,24.600000000000001,108.6
2010-10-09,7.5,16.5,21.0,15.0,6.0,6.0,12.0,7.5,7.7999999999999989,99.3
2010-10-09,7.5,9.0,3.0,15.0,6.0,9.0,9.0,12.0,23.399999999999999,93.9
2010-10-09,7.5,7.5,18.0,16.5,22.5,4.5,21.0,7.5,16.199999999999999,121.2
2010-10-11,3.0,3.0,4.5,21.0,19.5,18.0,7.5,7.5,7.7999999999999989,91.8
2010-10-11,3.0,3.0,3.0,3.0,7.5,4.5,16.5,6.0,13.800000000000001,60.3
2010-10-11,15.0,3.0,3.0,19.5,6.0,4.5,16.5,19.5,24.0,111.0
2010-10-11,21.0,12.0,6.0,12.0,7.5,10.5,7.5,12.0,20.399999999999999,108.9
2010-10-11,6.0,12.0,21.0,18.0,12.0,7.5,7.5,18.0,13.800000000000001,115.8
2010-10-11,12.0,3.0,12.0,7.5,7.5,9.0,18.0,28.5,19.199999999999999,116.7
