Year,GameID,PlayerName,Date,Wins,Saves,Goals,Shutout,Fantasy_Points
2010-2011,39595,Cory Schneider,2010-09-28,1,23.0,1,0,19.799999999999997
2010-2011,39595,Antti Niemi,2010-09-28,0,19.0,3,0,2.4000000000000004
2010-2011,39596,Alexander Auld,2010-09-30,0,32.0,5,0,4.199999999999999
2010-2011,39596,Jhonas Enroth,2010-09-30,1,28.0,3,0,16.8
2010-2011,39597,Joey MacDonald,2010-10-01,0,3.0,1,0,-1.2000000000000002
2010-2011,39597,Thomas McCollum,2010-10-01,1,16.0,2,0,12.600000000000001
2010-2011,39597,Jussi Rynnas,2010-10-01,0,27.0,7,0,-4.800000000000001
2010-2011,38365,Niklas Backstrom,2010-10-07,0,27.0,4,0,4.199999999999999
2010-2011,38365,Cam Ward,2010-10-07,1,26.0,3,0,15.600000000000001
2010-2011,38366,Jean-Sebastien Giguere,2010-10-07,1,26.0,2,0,18.6
2010-2011,38366,Carey Price,2010-10-07,0,21.0,3,0,3.5999999999999996
2010-2011,38367,Marc-Andre Fleury,2010-10-07,0,24.0,3,0,5.399999999999999
2010-2011,38367,Sergei Bobrovsky,2010-10-07,1,29.0,2,0,20.4
2010-2011,38368,Craig Anderson,2010-10-07,1,35.0,3,0,21.0
2010-2011,38368,Marty Turco,2010-10-07,0,37.0,4,0,10.2
2010-2011,38369,Nikolai Khabibulin,2010-10-07,1,37.0,0,1,37.2
2010-2011,38369,Miikka Kiprusoff,2010-10-07,0,29.0,4,0,5.399999999999999
2010-2011,38370,Cam Ward,2010-10-08,1,41.0,1,0,30.599999999999994
2010-2011,38370,Niklas Backstrom,2010-10-08,0,36.0,1,0,18.599999999999998
2010-2011,38371,Steve Mason,2010-10-08,0,25.0,3,0,6.0
2010-2011,38371,Antti Niemi,2010-10-08,1,30.0,2,0,21.0
2010-2011,38372,Martin Brodeur,2010-10-08,0,24.0,4,0,2.3999999999999986
2010-2011,38372,Kari Lehtonen,2010-10-08,1,27.0,3,0,16.2
2010-2011,38373,Jimmy Howard,2010-10-08,1,21.0,0,1,27.6
2010-2011,38373,Jonas Hiller,2010-10-08,0,39.0,4,0,11.399999999999999
2010-2011,38374,Pascal Leclaire,2010-10-08,0,34.0,2,0,14.399999999999999
2010-2011,38374,Ryan Miller,2010-10-08,1,25.0,1,0,21.0
