Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2010-04-05,48.5,39.0,57.0,26.5,37.0,42.0,51.0,43.5,37.5,382.0
2010-04-06,45.5,36.0,29.5,37.5,40.0,44.5,36.0,29.5,24.0,322.5
2010-04-07,52.5,24.0,32.5,51.0,40.5,33.0,54.0,34.5,33.0,355.0
2010-04-08,44.5,18.0,36.0,19.5,28.5,51.0,39.0,36.0,34.0,306.5
2010-04-09,54.5,42.0,32.5,30.0,35.5,35.5,46.5,45.0,45.0,366.5
2010-04-10,44.0,41.5,45.0,32.0,22.0,27.0,47.5,39.0,33.0,331.0
2010-04-11,61.0,41.5,51.0,36.0,42.0,45.0,48.0,42.0,31.5,398.0
2010-04-12,49.0,48.0,36.0,30.0,24.0,49.5,55.5,54.0,47.5,393.5
2010-04-13,60.0,33.0,35.0,45.0,26.5,30.0,38.5,38.5,36.0,342.5
2010-04-14,61.5,36.0,35.5,54.0,38.5,23.5,57.0,47.0,46.0,399.0
2010-04-15,49.5,21.0,24.0,44.5,29.5,33.0,41.5,33.0,33.0,309.0
2010-04-16,55.0,27.0,27.0,38.5,30.0,32.5,54.0,30.0,29.5,323.5
2010-04-17,67.5,32.5,28.5,43.0,30.0,30.0,44.5,37.5,30.0,343.5
2010-04-18,58.5,26.5,35.5,56.5,39.0,41.5,42.0,42.0,42.0,383.5
2010-04-19,47.0,9.0,33.0,33.0,33.0,54.0,36.0,33.0,27.0,305.0
2010-04-20,53.5,26.5,33.0,27.0,34.5,46.5,45.0,40.0,36.0,342.0
2010-04-21,61.5,23.5,30.0,41.5,52.5,27.0,59.5,48.0,42.0,385.5
2010-04-22,41.0,33.0,32.5,29.5,17.5,27.0,58.5,44.5,31.0,314.5
2010-04-23,45.0,30.0,48.0,41.5,25.5,30.0,52.5,36.0,33.0,341.5
2010-04-24,58.5,36.0,39.0,33.0,30.0,47.5,42.0,37.5,36.0,359.5
2010-04-25,68.0,30.0,39.0,27.0,40.5,41.5,48.0,45.0,42.0,381.0
2010-04-26,71.5,45.0,41.5,42.0,29.5,50.5,39.5,37.5,37.0,394.0
2010-04-27,59.0,41.5,30.0,21.0,45.0,36.0,48.0,39.0,30.0,349.5
2010-04-28,60.0,26.5,32.0,31.5,23.5,35.0,47.0,40.5,39.0,335.0
2010-04-29,46.0,69.0,60.0,51.0,30.0,51.0,30.0,30.0,30.0,397.0
2010-04-30,55.0,54.0,36.0,34.5,48.0,54.0,44.0,42.0,36.0,403.5
2010-05-01,59.5,27.0,30.0,42.0,32.5,45.0,52.5,42.0,42.0,372.5
2010-05-02,50.0,27.0,33.0,39.0,51.0,30.0,54.0,51.0,50.5,385.5
2010-05-03,61.5,33.0,39.0,26.5,23.5,38.5,42.0,33.0,30.0,327.0
2010-05-04,51.5,36.0,30.0,27.0,35.5,40.0,39.0,36.0,35.5,330.5
2010-05-05,37.5,45.0,48.0,26.5,33.0,30.0,39.0,36.0,31.0,326.0
2010-05-06,57.5,42.0,30.0,31.5,22.5,23.0,48.0,48.0,44.5,347.0
2010-05-07,57.5,45.0,47.5,26.5,48.0,26.5,47.5,32.5,32.5,363.5
2010-05-08,51.0,45.0,72.0,31.5,28.5,36.0,57.0,50.5,38.5,410.0
2010-05-09,67.5,20.5,26.5,27.0,48.0,30.0,42.0,40.5,36.0,338.0
2010-05-10,53.0,36.0,33.0,35.0,21.0,32.5,42.0,31.5,30.0,314.0
2010-05-11,67.0,32.5,47.0,28.5,19.5,32.5,37.5,33.0,31.5,329.0
2010-05-12,59.5,33.0,39.0,24.0,33.0,35.5,47.5,33.0,32.5,337.0
2010-05-13,61.0,32.5,35.5,17.5,24.0,59.0,33.0,33.0,29.5,325.0
2010-05-14,58.5,36.0,45.0,47.0,27.0,36.0,66.0,50.5,47.0,413.0
2010-05-15,76.5,26.5,50.0,42.0,43.0,54.0,41.5,41.5,36.0,411.0
2010-05-16,56.5,27.0,33.0,51.0,23.5,29.5,43.0,32.5,30.0,326.0
2010-05-17,64.5,41.5,56.5,33.0,22.0,30.0,45.0,36.0,36.0,364.5
2010-05-18,53.5,24.0,39.0,35.5,24.0,36.0,48.0,32.5,30.0,322.5
2010-05-19,52.5,39.0,51.0,35.5,33.0,32.0,52.0,33.0,30.0,358.0
2010-05-20,61.5,30.0,42.0,33.0,32.0,34.5,48.0,45.0,35.5,361.5
2010-05-21,47.5,44.5,36.0,24.0,39.0,63.0,59.5,48.0,48.0,409.5
2010-05-22,45.0,26.5,30.0,33.0,23.5,30.0,40.5,34.5,32.5,295.5
2010-05-23,40.0,45.0,42.0,25.5,29.5,48.0,50.5,48.0,45.0,373.5
2010-05-25,59.0,29.5,39.0,33.0,45.0,23.5,57.0,33.0,32.5,351.5
2010-05-26,56.0,26.5,27.0,32.5,34.5,72.0,42.0,37.5,35.5,363.5
2010-05-27,50.0,18.0,27.0,24.0,43.5,35.5,60.0,36.0,35.5,329.5
