Date,G1,G2,G3,F1,F2,F3,C,U1,U2,Total
2010-10-27,39.0,37.5,37.5,45.0,40.0,40.0,38.5,36.0,36.0,349.5
2010-10-29,41.5,41.5,39.0,39.0,39.0,37.0,35.0,35.0,35.0,342.0
2010-10-30,41.0,41.0,39.0,39.0,35.5,35.5,33.0,36.5,36.5,337.0
2010-11-02,41.0,30.5,30.5,34.5,30.5,30.5,34.5,30.5,30.5,293.0
2010-11-03,46.5,46.5,44.0,42.0,42.0,40.0,39.0,40.0,39.0,379.0
2010-11-05,43.5,43.5,35.5,35.5,35.0,35.0,40.0,40.0,35.5,343.5
2010-11-06,37.5,37.0,37.0,37.0,37.0,36.0,31.0,37.0,37.0,326.5
2010-11-07,38.0,38.0,34.5,44.5,32.5,32.5,44.5,41.0,41.0,346.5
2010-11-08,35.0,35.0,33.5,42.5,35.0,35.0,34.5,35.0,33.0,318.5
2010-11-09,34.0,34.0,34.0,46.5,46.5,45.5,29.5,43.5,43.5,357.0
2010-11-10,47.0,39.5,39.5,40.5,37.5,37.5,29.5,39.5,37.5,348.0
2010-11-12,43.5,42.5,42.5,59.5,59.5,40.0,31.0,38.5,38.5,395.5
2010-11-13,34.0,33.5,33.5,31.0,31.0,29.5,44.0,44.0,31.5,312.0
2010-11-14,40.5,40.5,40.5,41.0,34.5,33.0,41.0,40.5,37.5,349.0
2010-11-15,40.5,40.5,40.5,37.5,37.5,37.5,32.0,34.5,31.0,331.5
2010-11-16,36.5,36.5,36.5,33.5,32.5,31.0,33.0,36.5,36.5,312.5
2010-11-17,37.0,37.0,32.0,39.5,39.5,39.0,34.0,39.0,39.0,336.0
2010-11-19,46.5,46.5,39.5,41.0,39.0,39.0,46.5,36.5,36.5,371.0
2010-11-20,44.0,31.5,31.5,54.0,54.0,42.5,46.0,46.0,42.5,392.0
2010-11-22,32.5,32.5,32.5,40.0,40.0,40.0,43.5,43.5,40.0,344.5
2010-11-23,38.0,35.0,35.0,45.5,45.5,31.0,43.5,36.5,33.0,343.0
2010-11-24,45.0,45.0,38.0,47.5,47.5,39.5,36.5,39.5,38.5,377.0
2010-11-26,46.5,46.5,37.0,38.0,38.0,35.0,47.0,37.0,37.0,362.0
2010-11-27,41.0,39.5,39.5,41.5,41.5,31.5,36.5,36.5,36.0,343.5
2010-11-28,47.0,47.0,36.5,46.5,46.5,45.0,36.0,45.0,38.0,387.5
2010-11-30,36.5,36.0,36.0,43.5,43.5,37.5,34.5,37.5,36.5,341.5
2010-12-01,52.5,52.5,40.5,43.0,43.0,37.5,33.5,40.5,40.5,383.5
2010-12-03,39.0,37.5,37.5,41.5,41.5,39.5,34.5,39.5,39.0,349.5
2010-12-04,47.5,47.5,37.5,44.0,44.0,31.5,46.0,37.5,32.0,367.5
2010-12-05,36.0,35.5,34.5,42.5,42.5,38.5,33.0,34.5,34.5,331.5
2010-12-06,36.0,36.0,32.0,44.0,44.0,36.5,28.0,36.0,33.0,325.5
2010-12-07,39.0,36.5,35.5,43.0,40.5,37.5,43.0,35.0,34.5,344.5
2010-12-08,37.0,37.0,32.0,43.0,43.0,43.0,44.0,40.5,40.5,360.0
2010-12-10,38.0,38.0,34.0,42.0,42.0,39.5,49.0,38.0,38.0,358.5
2010-12-11,38.5,38.5,34.5,42.5,42.5,36.0,40.0,39.0,39.0,350.5
2010-12-12,35.5,35.5,33.5,44.0,44.0,38.0,31.5,38.0,38.0,338.0
2010-12-13,38.5,38.5,38.5,43.5,40.0,34.5,35.5,34.5,34.5,338.0
2010-12-14,33.5,29.5,27.0,36.5,36.5,36.5,32.0,35.0,33.0,299.5
2010-12-15,32.0,32.0,32.0,43.0,41.0,41.0,33.0,39.0,39.0,332.0
2010-12-17,37.5,35.5,35.5,47.0,47.0,45.0,37.5,40.0,38.5,363.5
2010-12-18,38.5,38.5,38.5,52.0,52.0,41.5,43.5,43.5,38.5,386.5
2010-12-19,34.0,34.0,33.0,45.5,40.5,40.5,32.0,34.5,33.5,327.5
2010-12-20,40.5,39.0,32.0,47.5,41.5,41.5,36.5,36.5,35.5,350.5
2010-12-21,39.0,35.5,35.5,33.0,33.0,32.5,47.0,47.0,32.5,335.0
2010-12-22,32.5,32.5,31.5,40.5,40.5,38.0,33.0,38.0,37.0,323.5
2010-12-25,39.0,36.0,36.0,47.5,47.5,43.5,23.5,43.5,38.0,354.5
2010-12-26,37.0,37.0,36.5,40.5,37.5,34.5,28.5,36.0,34.5,322.0
2010-12-27,40.0,40.0,34.0,36.5,35.5,35.5,35.5,35.5,35.5,328.0
2010-12-28,41.0,41.0,37.0,42.0,32.0,32.0,25.0,37.0,34.0,321.0
2010-12-29,38.5,38.5,38.0,49.0,38.0,38.0,39.0,39.0,39.0,357.0
2010-12-31,40.5,40.5,36.0,33.0,33.0,32.5,31.5,36.0,32.0,315.0
2011-01-01,34.0,34.0,33.0,36.5,35.5,35.5,29.5,34.5,33.0,305.5
2011-01-02,34.0,33.5,32.0,41.5,41.5,38.5,32.5,35.0,34.0,322.5
2011-01-03,38.0,38.0,30.0,41.0,41.0,39.0,37.0,39.0,39.0,342.0
