Date,G1,G2,G3,G4,F1,F2,F3,F4,U1,Total
2010-11-12,43.0,37.0,37.0,37.0,41.5,39.5,38.5,41.5,36.5,351.5
2010-11-13,40.5,37.0,32.5,32.5,38.0,36.5,36.0,38.0,33.5,324.5
2010-11-14,32.5,31.5,31.0,31.0,45.5,39.5,36.0,45.5,30.5,323.0
2010-11-15,33.5,33.0,31.5,31.5,40.0,36.0,34.5,40.0,32.5,312.5
2010-11-16,36.0,35.5,33.5,33.5,41.0,37.0,36.0,41.0,35.5,329.0
2010-11-17,41.0,39.0,32.0,32.0,35.0,33.0,32.5,35.0,32.0,311.5
2010-11-18,33.0,32.5,32.5,32.5,41.5,38.5,34.0,41.5,39.0,325.0
2010-11-19,37.0,32.5,32.0,32.0,33.5,30.0,30.0,33.5,30.0,290.5
2010-11-20,42.0,38.0,34.0,34.0,41.5,38.0,36.0,41.5,39.0,344.0
2010-11-21,36.5,33.0,31.5,31.5,41.5,39.5,39.0,41.5,32.0,326.0
2010-11-22,38.5,32.5,32.5,32.5,43.5,39.0,36.0,43.5,32.5,330.5
2010-11-23,36.5,36.0,34.5,34.5,36.5,36.5,36.0,36.5,32.5,319.5
2010-11-24,38.0,33.0,33.0,33.0,37.0,35.5,33.5,37.0,32.0,312.0
2010-11-25,32.5,26.5,25.0,25.0,32.5,32.0,30.0,32.5,26.0,262.0
2010-11-26,37.0,35.0,33.0,33.0,37.0,35.5,35.0,37.0,41.5,324.0
2010-11-27,38.5,34.0,34.0,34.0,39.5,36.5,33.5,39.5,50.0,339.5
2010-11-28,36.0,34.0,33.0,33.0,40.0,35.5,35.0,40.0,32.5,319.0
2010-11-29,34.5,33.5,31.0,31.0,36.5,34.5,32.5,36.5,34.0,304.0
2010-11-30,34.5,34.0,33.5,33.5,40.5,33.5,33.0,40.5,32.0,315.0
2010-12-01,40.5,35.5,33.0,33.0,36.0,36.0,33.5,36.0,33.0,316.5
2010-12-02,36.5,32.5,32.5,32.5,39.0,38.0,37.0,39.0,34.5,321.5
2010-12-03,44.0,31.5,26.5,26.5,44.5,33.5,30.5,44.5,27.5,309.0
2010-12-04,43.5,41.5,39.5,39.5,45.0,45.0,40.5,45.0,39.0,378.5
2010-12-05,33.0,31.0,27.5,27.5,40.0,33.5,33.0,40.0,29.5,295.0
2010-12-06,37.0,31.0,29.0,29.0,36.5,31.5,30.0,36.5,26.5,287.0
2010-12-07,41.5,31.0,29.0,29.0,42.5,34.0,34.0,42.5,31.5,315.0
2010-12-08,41.5,40.5,37.0,37.0,43.5,36.0,34.5,43.5,33.0,346.5
2010-12-09,27.0,25.0,24.0,24.0,44.0,29.5,28.5,44.0,26.0,272.0
2010-12-10,41.0,32.0,30.5,30.5,33.0,32.5,31.0,33.0,27.0,290.5
2010-12-11,40.5,39.0,35.5,35.5,46.0,38.0,37.5,46.0,44.0,362.0
2010-12-12,35.0,30.0,30.0,30.0,40.0,37.5,35.0,40.0,30.5,308.0
2010-12-13,34.5,29.5,28.5,28.5,38.0,36.5,36.5,38.0,33.0,303.0
2010-12-14,35.5,33.0,29.0,29.0,36.5,32.0,27.0,36.5,32.5,291.0
2010-12-15,36.0,36.0,29.5,29.5,38.0,33.5,32.0,38.0,43.5,316.0
2010-12-16,33.0,31.0,29.5,29.5,34.0,31.5,31.0,34.0,29.0,282.5
2010-12-17,28.5,27.5,27.5,27.5,32.0,29.0,25.0,32.0,27.5,256.5
2010-12-18,60.0,37.5,35.0,35.0,46.5,43.5,36.5,46.5,33.5,374.0
2010-12-19,32.5,32.0,28.0,28.0,36.5,35.5,34.0,36.5,29.0,292.0
2010-12-20,40.5,39.0,31.0,31.0,34.0,33.5,31.0,34.0,33.0,307.0
2010-12-21,35.5,32.5,32.0,32.0,36.5,34.5,34.0,36.5,37.5,311.0
2010-12-22,38.5,34.5,32.0,32.0,38.0,33.0,33.0,38.0,33.0,312.0
2010-12-23,39.5,34.5,33.0,33.0,33.0,30.5,30.0,33.0,33.0,299.5
2010-12-27,31.5,29.5,29.0,29.0,31.5,27.5,27.5,31.5,27.5,264.5
2010-12-28,32.0,31.5,31.5,31.5,34.0,33.0,33.0,34.0,34.5,295.0
2010-12-29,37.0,35.5,33.0,33.0,39.5,35.5,34.5,39.5,34.0,321.5
2010-12-30,47.0,33.5,32.0,32.0,45.0,40.0,36.0,45.0,35.0,345.5
2010-12-31,37.5,34.0,33.0,33.0,36.5,31.0,30.5,36.5,31.5,303.5
2011-01-01,42.5,33.5,33.0,33.0,39.0,33.5,33.5,39.0,31.0,318.0
2011-01-02,40.5,39.5,34.0,34.0,34.0,33.0,32.0,34.0,32.5,313.5
2011-01-03,31.5,31.5,30.0,30.0,42.5,36.0,36.0,42.5,33.5,313.5
2011-01-04,49.0,42.5,30.0,30.0,34.5,34.0,33.0,34.5,36.5,324.0
2011-01-05,39.5,36.0,35.0,35.0,41.0,38.5,34.0,41.0,31.5,331.5
2011-01-06,39.5,37.5,35.5,35.5,36.5,35.0,35.0,36.5,34.0,325.0
2011-01-07,31.5,31.0,28.5,28.5,31.0,29.0,28.5,31.0,28.5,267.5
2011-01-08,39.5,38.5,38.0,38.0,41.5,41.0,38.5,41.5,37.5,354.0
2011-01-09,42.5,37.5,34.0,34.0,34.0,32.0,31.0,34.0,31.5,310.5
2011-01-10,31.5,31.5,31.0,31.0,31.0,31.0,28.0,31.0,28.0,274.0
2011-01-11,45.5,34.0,31.0,31.0,37.0,37.0,33.5,37.0,29.5,315.5
2011-01-12,41.0,37.5,34.5,34.5,39.5,38.0,34.5,39.5,33.5,332.5
2011-01-13,35.0,35.0,33.5,33.5,39.0,36.5,36.0,39.0,35.0,322.5
2011-01-14,25.5,25.0,24.5,24.5,35.5,28.0,28.0,35.5,26.0,252.5
2011-01-15,33.5,33.0,33.0,33.0,39.0,38.5,38.0,39.0,36.0,323.0
2011-01-16,37.5,36.5,35.0,35.0,33.5,32.0,32.0,33.5,29.5,304.5
