Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2009-09-03,30.9,22.3,34.3,29.1,46.2,37.1,25.7,11.2,25.6,262.4
2009-09-05,49.2,39.4,40.7,39.6,48.5,43.9,40.2,35.4,38.5,375.4
2009-09-12,49.3,38.7,44.6,42.1,43.5,38.2,37.0,33.1,42.0,368.5
2009-09-19,44.3,40.5,50.8,38.4,46.9,44.9,44.0,26.9,39.2,375.9
2009-09-26,51.9,49.3,50.0,46.9,48.2,41.7,39.8,46.8,46.9,421.5
2009-10-03,45.2,38.8,54.2,50.5,48.1,46.6,45.5,26.3,43.7,398.9
2009-10-10,51.5,50.1,59.1,51.4,71.7,45.6,45.2,31.5,48.0,454.1
2009-10-17,39.5,36.3,59.4,48.1,48.2,45.6,37.0,33.6,37.9,385.6
2009-10-24,65.1,47.8,48.2,45.1,61.7,45.0,44.6,24.7,42.3,424.5
2009-10-31,51.5,46.8,45.6,43.6,47.6,47.0,42.8,28.1,42.3,395.3
2009-11-07,54.7,51.1,67.3,48.3,49.7,47.3,43.7,30.7,43.5,436.3
2009-11-14,46.1,42.1,50.7,42.3,63.4,51.0,47.3,21.5,44.6,409.0
2009-11-21,48.3,46.5,51.2,44.5,51.2,41.4,37.3,41.1,42.4,403.9
2009-11-27,46.9,43.3,54.7,41.9,33.4,31.8,30.2,36.9,39.5,358.6
2009-11-28,49.6,44.7,53.3,50.5,52.6,49.2,48.3,31.9,45.3,425.4
2009-12-05,42.3,41.6,51.8,48.8,64.1,36.7,30.9,16.5,42.1,374.8
2009-12-31,42.8,29.7,34.5,33.9,48.4,28.7,22.4,12.7,30.3,283.4
2010-01-01,45.4,44.3,30.6,29.0,34.1,29.2,27.1,29.1,25.7,294.5
2010-01-02,24.1,14.1,39.5,29.7,42.9,30.4,26.4,7.1,26.4,240.6
2010-09-02,48.6,41.2,28.8,26.9,34.5,32.5,32.5,34.4,30.9,310.3
2010-09-04,51.5,40.1,55.3,54.7,41.5,39.9,38.2,22.0,41.9,385.1
2010-09-11,54.6,48.7,42.0,37.9,47.9,40.5,39.6,33.4,37.4,382.0
2010-09-18,44.7,43.2,46.5,41.6,44.4,39.0,38.8,30.5,41.4,370.1
2010-09-25,53.4,52.9,50.4,47.3,47.6,43.0,42.8,25.3,44.2,406.9
2010-10-02,57.8,49.6,53.6,49.6,42.7,42.2,41.1,22.5,49.5,408.6
2010-10-09,54.2,42.1,44.4,41.3,55.4,40.7,39.4,23.2,40.5,381.2
2010-10-16,53.9,49.4,49.9,46.2,50.6,47.0,46.9,25.5,45.7,415.1
2010-10-23,48.1,40.1,50.6,48.7,46.2,42.8,40.1,26.5,42.5,385.6
2010-10-30,51.7,38.6,54.1,46.9,50.8,43.1,42.6,25.8,45.7,399.3
2010-11-06,40.1,39.9,52.2,46.6,52.2,48.6,45.9,32.0,45.5,403.0
2010-11-13,44.8,43.0,47.3,46.4,42.3,40.9,40.9,36.3,46.1,388.0
2010-11-20,57.8,45.0,59.9,52.2,61.0,47.4,46.3,25.3,50.1,445.0
2010-11-26,50.0,43.7,47.0,38.1,46.6,44.8,40.1,17.7,38.4,366.4
