Date,QB,RB1,RB2,WR1,WR2,WR3,TE,UTIL,D,Total
2009-08-09,13.7,16.8,15.2,26.0,22.2,17.1,15.1,16.1,20.0,162.2
2009-08-13,14.5,23.8,16.8,26.0,22.2,19.9,15.1,17.1,20.0,175.4
2009-08-14,14.5,23.8,16.8,26.0,22.2,19.9,15.1,17.1,18.0,173.4
2009-08-15,14.5,23.8,14.4,19.9,12.3,12.0,11.6,13.2,18.0,139.7
2009-08-17,14.8,23.7,20.5,15.6,15.1,12.7,17.5,17.7,12.0,149.6
2009-08-20,14.8,23.7,20.5,15.6,15.1,12.7,17.5,17.7,13.0,150.6
2009-08-22,14.8,23.7,20.5,15.6,15.1,14.2,17.5,17.7,13.0,152.1
2009-08-24,28.4,16.6,16.5,27.0,20.3,17.8,18.8,17.3,13.0,175.7
2009-08-27,28.4,21.5,21.0,35.5,27.0,20.3,18.8,19.6,13.0,205.1
2009-08-28,28.4,21.5,21.0,35.5,27.0,20.3,18.8,19.6,12.0,204.1
2009-08-29,17.2,22.5,21.5,35.5,17.0,16.9,18.3,21.0,9.0,178.9
2009-08-30,19.6,39.7,32.8,26.0,21.8,17.5,14.0,22.5,21.0,214.9
2009-08-31,19.6,39.7,32.8,26.8,26.0,21.8,14.0,22.5,21.0,224.2
2009-09-03,28.1,41.8,39.7,35.2,26.8,26.0,27.5,32.8,21.0,278.9
2009-09-04,28.1,41.8,28.6,35.2,29.1,26.8,27.5,25.7,20.0,262.8
2009-09-13,33.7,58.4,44.6,39.9,35.2,34.0,27.5,41.8,20.0,335.1
2009-09-14,33.7,58.4,44.6,39.9,34.0,32.4,34.3,31.0,13.0,321.3
2009-09-20,33.7,58.4,44.6,39.9,36.8,34.0,34.3,39.7,15.0,336.4
2009-09-21,33.1,39.7,28.6,36.8,29.9,28.6,34.3,27.8,15.0,273.8
2009-09-27,33.1,39.7,36.1,39.4,36.8,29.9,36.4,28.6,40.0,320.0
2009-09-28,29.7,36.1,26.5,39.4,28.1,25.5,36.4,27.8,40.0,289.5
2009-10-04,29.7,36.1,32.5,44.0,39.4,35.2,36.4,34.2,40.0,327.5
2009-10-05,29.5,32.5,27.7,44.0,35.2,29.7,34.2,27.8,26.0,286.6
2009-10-11,42.2,44.4,41.8,44.0,41.9,40.0,34.2,35.2,26.0,349.7
2009-10-12,42.2,44.4,41.8,41.9,40.0,32.9,28.9,33.7,19.0,324.8
2009-10-18,42.2,44.4,41.8,41.9,40.0,38.1,34.3,36.8,19.0,338.5
2009-10-19,30.5,29.4,29.2,38.1,36.8,30.3,34.3,28.3,19.0,275.9
2009-10-25,30.5,38.1,29.4,38.1,36.8,35.7,34.3,30.3,22.0,295.2
2009-10-26,28.7,38.1,24.4,35.7,27.6,27.3,21.8,24.1,22.0,249.7
2009-11-01,28.7,38.1,35.0,35.7,29.7,29.7,29.3,34.0,22.0,282.2
2009-11-02,24.2,35.0,34.0,29.7,29.7,23.8,29.3,31.1,17.0,253.8
2009-11-08,30.1,50.2,35.6,41.9,37.6,34.3,29.3,35.0,17.0,311.0
2009-11-12,30.1,50.2,36.8,41.9,37.6,34.3,16.7,35.6,15.0,298.2
2009-11-15,38.6,50.2,36.8,41.9,38.3,37.7,25.8,37.6,15.0,321.9
2009-11-19,38.6,36.8,27.9,38.3,37.7,32.1,25.8,31.8,11.0,280.0
