Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-10-07,24.0,22.5,22.5,25.5,24.0,16.5,18.0,22.5,37.2,212.7
2010-10-08,28.5,22.5,21.0,25.5,21.0,7.5,13.5,19.5,30.6,189.6
2010-10-09,31.5,24.0,24.0,31.5,31.5,24.0,30.0,30.0,27.0,253.5
2010-10-11,30.0,27.0,24.0,28.5,22.5,16.5,18.0,21.0,30.6,218.1
2010-10-13,25.5,21.0,21.0,28.5,27.0,12.0,18.0,19.5,29.4,201.9
2010-10-14,24.0,22.5,21.0,30.0,30.0,12.0,13.5,28.5,31.2,212.7
2010-10-15,34.5,33.0,28.5,40.5,34.5,16.5,24.0,25.5,27.6,264.6
2010-10-16,37.5,27.0,27.0,36.0,22.5,25.5,30.0,25.5,32.4,263.4
2010-10-18,25.5,22.5,21.0,30.0,24.0,13.5,18.0,21.0,24.6,200.1
2010-10-21,34.5,22.5,21.0,37.5,27.0,16.5,18.0,27.0,32.4,236.4
2010-10-22,43.5,34.5,22.5,43.5,28.5,15.0,25.5,25.5,23.4,261.9
2010-10-23,40.5,37.5,31.5,39.0,37.5,19.5,21.0,31.5,33.6,291.6
2010-10-26,30.0,30.0,25.5,30.0,27.0,16.5,25.5,24.0,24.0,232.5
2010-10-27,37.5,34.5,30.0,45.0,27.0,18.0,22.5,27.0,32.4,273.9
2010-10-28,33.0,33.0,25.5,22.5,21.0,15.0,19.5,22.5,29.4,221.4
2010-10-29,30.0,25.5,25.5,28.5,27.0,19.5,24.0,25.5,24.0,229.5
2010-10-30,34.5,28.5,24.0,33.0,31.5,25.5,28.5,31.5,36.6,273.6
2010-11-03,27.0,27.0,24.0,24.0,22.5,18.0,34.5,24.0,31.2,232.2
2010-11-04,21.0,15.0,15.0,31.5,19.5,13.5,15.0,16.5,30.0,177.0
2010-11-05,39.0,25.5,24.0,37.5,33.0,18.0,22.5,30.0,34.8,264.3
2010-11-06,36.0,33.0,27.0,36.0,36.0,18.0,22.5,28.5,33.6,270.6
2010-11-09,24.0,22.5,22.5,36.0,28.5,13.5,16.5,28.5,35.4,227.4
2010-11-10,27.0,27.0,24.0,28.5,28.5,13.5,25.5,25.5,31.2,230.7
2010-11-11,48.0,30.0,24.0,39.0,25.5,16.5,21.0,25.5,27.0,256.5
2010-11-12,27.0,27.0,22.5,34.5,22.5,15.0,15.0,21.0,22.8,207.3
2010-11-13,49.5,31.5,27.0,43.5,33.0,19.5,22.5,28.5,33.6,288.6
2010-11-15,30.0,27.0,25.5,34.5,25.5,15.0,33.0,24.0,31.8,246.3
2010-11-17,33.0,25.5,25.5,48.0,39.0,19.5,22.5,30.0,29.4,272.4
2010-11-18,36.0,36.0,33.0,37.5,28.5,15.0,16.5,33.0,39.6,275.1
2010-11-19,36.0,34.5,31.5,34.5,24.0,18.0,21.0,25.5,32.4,257.4
2010-11-20,39.0,27.0,24.0,28.5,21.0,15.0,15.0,22.5,36.0,228.0
2010-11-22,25.5,21.0,19.5,27.0,27.0,12.0,19.5,27.0,33.0,211.5
2010-11-24,33.0,28.5,27.0,30.0,25.5,15.0,18.0,25.5,33.0,235.5
2010-11-26,37.5,33.0,24.0,27.0,27.0,18.0,22.5,25.5,39.0,253.5
2010-11-27,37.5,37.5,36.0,37.5,30.0,16.5,25.5,30.0,32.4,282.9
2010-11-29,27.0,27.0,25.5,16.5,16.5,12.0,13.5,18.0,34.2,190.2
2010-11-30,40.5,31.5,28.5,30.0,24.0,15.0,28.5,27.0,34.8,259.8
2010-12-01,42.0,33.0,31.5,33.0,30.0,13.5,21.0,31.5,39.6,275.1
2010-12-02,45.0,24.0,24.0,34.5,27.0,15.0,16.5,22.5,34.8,243.3
2010-12-03,28.5,27.0,19.5,18.0,16.5,12.0,13.5,19.5,39.6,194.1
2010-12-04,28.5,25.5,24.0,31.5,28.5,16.5,22.5,27.0,34.2,238.2
2010-12-05,18.0,16.5,16.5,34.5,34.5,13.5,21.0,34.5,30.6,219.6
2010-12-06,24.0,21.0,19.5,25.5,24.0,15.0,18.0,22.5,22.2,191.7
2010-12-07,25.5,25.5,22.5,24.0,22.5,13.5,18.0,21.0,23.4,195.9
2010-12-08,24.0,22.5,21.0,33.0,25.5,16.5,18.0,24.0,24.0,208.5
2010-12-09,31.5,25.5,24.0,30.0,25.5,16.5,16.5,25.5,36.6,231.6
2010-12-10,22.5,21.0,18.0,21.0,19.5,16.5,19.5,16.5,25.2,179.7
2010-12-11,30.0,28.5,27.0,31.5,24.0,19.5,22.5,25.5,28.8,237.3
2010-12-13,30.0,27.0,22.5,30.0,27.0,16.5,19.5,25.5,45.6,243.6
2010-12-15,34.5,34.5,31.5,33.0,31.5,15.0,40.5,31.5,32.4,284.4
2010-12-16,36.0,27.0,27.0,24.0,24.0,18.0,22.5,25.5,30.0,234.0
2010-12-18,31.5,25.5,25.5,42.0,27.0,18.0,22.5,24.0,28.8,244.8
2010-12-20,25.5,21.0,21.0,46.5,33.0,15.0,33.0,25.5,42.0,262.5
2010-12-21,34.5,24.0,22.5,21.0,19.5,19.5,19.5,19.5,28.8,208.8
2010-12-23,33.0,25.5,25.5,31.5,30.0,18.0,22.5,27.0,27.6,240.6
2010-12-26,27.0,27.0,22.5,24.0,22.5,13.5,28.5,21.0,34.2,220.2
2010-12-27,28.5,24.0,22.5,27.0,27.0,18.0,28.5,25.5,29.4,230.4
2010-12-28,24.0,22.5,21.0,36.0,34.5,16.5,27.0,28.5,30.0,240.0
2010-12-29,39.0,36.0,25.5,25.5,21.0,18.0,19.5,25.5,37.2,247.2
2010-12-30,25.5,22.5,22.5,37.5,36.0,15.0,24.0,22.5,28.2,233.7
2010-12-31,27.0,24.0,21.0,25.5,21.0,22.5,33.0,22.5,32.4,228.9
2011-01-01,36.0,34.5,30.0,24.0,24.0,16.5,25.5,22.5,32.4,245.4
2011-01-02,30.0,28.5,22.5,31.5,30.0,22.5,28.5,22.5,34.2,250.2
2011-01-03,27.0,22.5,22.5,31.5,30.0,13.5,19.5,24.0,27.6,218.1
2011-01-04,27.0,19.5,19.5,25.5,18.0,12.0,15.0,18.0,35.4,189.9
2011-01-05,34.5,21.0,19.5,30.0,30.0,18.0,31.5,22.5,31.8,238.8
2011-01-06,25.5,25.5,25.5,28.5,24.0,13.5,16.5,22.5,36.6,218.1
2011-01-07,37.5,31.5,30.0,34.5,33.0,24.0,27.0,30.0,31.2,278.7
2011-01-08,31.5,24.0,24.0,34.5,22.5,21.0,27.0,22.5,31.2,238.2
2011-01-09,28.5,27.0,27.0,22.5,18.0,13.5,21.0,25.5,37.2,220.2
2011-01-11,34.5,31.5,27.0,33.0,27.0,16.5,24.0,27.0,33.6,254.1
2011-01-13,31.5,27.0,21.0,24.0,21.0,18.0,22.5,21.0,33.6,219.6
2011-01-14,28.5,22.5,22.5,25.5,19.5,13.5,19.5,22.5,25.2,199.2
2011-01-15,33.0,31.5,31.5,37.5,31.5,21.0,27.0,28.5,29.4,270.9
2011-01-16,24.0,22.5,21.0,25.5,22.5,12.0,13.5,22.5,34.2,197.7
2011-01-17,25.5,18.0,18.0,22.5,22.5,13.5,37.5,19.5,33.6,210.6
2011-01-18,30.0,27.0,24.0,22.5,21.0,13.5,25.5,21.0,29.4,213.9
2011-01-20,28.5,24.0,21.0,36.0,22.5,13.5,16.5,21.0,36.6,219.6
2011-01-22,39.0,28.5,27.0,39.0,31.5,19.5,24.0,27.0,27.6,263.1
2011-01-23,28.5,25.5,25.5,33.0,24.0,18.0,18.0,24.0,24.0,220.5
2011-01-24,27.0,22.5,19.5,31.5,22.5,13.5,13.5,21.0,35.4,206.4
2011-01-25,24.0,24.0,21.0,19.5,19.5,13.5,24.0,21.0,32.4,198.9
2011-01-26,27.0,24.0,19.5,39.0,22.5,16.5,22.5,18.0,36.6,225.6
2011-02-01,33.0,28.5,22.5,34.5,27.0,15.0,24.0,22.5,37.8,244.8
2011-02-02,60.0,24.0,24.0,25.5,25.5,24.0,25.5,24.0,28.8,261.3
2011-02-03,25.5,25.5,24.0,30.0,28.5,10.5,18.0,25.5,31.2,218.7
2011-02-04,42.0,22.5,21.0,37.5,28.5,13.5,16.5,19.5,35.4,236.4
2011-02-05,39.0,36.0,34.5,25.5,25.5,15.0,18.0,34.5,36.0,264.0
2011-02-07,31.5,30.0,22.5,25.5,24.0,15.0,16.5,22.5,37.2,224.7
2011-02-08,31.5,27.0,24.0,33.0,22.5,16.5,25.5,24.0,30.0,234.0
2011-02-09,42.0,28.5,27.0,24.0,21.0,22.5,27.0,25.5,28.2,245.7
2011-02-10,27.0,19.5,15.0,16.5,16.5,13.5,21.0,15.0,25.2,169.2
2011-02-11,39.0,33.0,31.5,34.5,28.5,19.5,22.5,28.5,24.6,261.6
2011-02-12,27.0,27.0,25.5,25.5,21.0,16.5,19.5,25.5,31.2,218.7
2011-02-13,36.0,31.5,30.0,21.0,18.0,15.0,19.5,28.5,39.0,238.5
2011-02-15,24.0,24.0,22.5,24.0,24.0,15.0,21.0,22.5,24.0,201.0
2011-02-16,33.0,33.0,28.5,28.5,22.5,15.0,18.0,28.5,25.8,232.8
2011-02-17,28.5,25.5,22.5,25.5,25.5,16.5,21.0,24.0,27.6,216.6
2011-02-18,28.5,21.0,19.5,31.5,24.0,16.5,18.0,22.5,30.0,211.5
2011-02-19,40.5,34.5,30.0,28.5,27.0,18.0,21.0,27.0,43.2,269.7
2011-02-20,34.5,21.0,18.0,18.0,18.0,13.5,15.0,18.0,38.4,194.4
2011-02-22,27.0,25.5,24.0,30.0,24.0,15.0,18.0,24.0,27.0,214.5
2011-02-23,36.0,31.5,28.5,36.0,28.5,13.5,19.5,28.5,30.0,252.0
2011-02-24,22.5,22.5,21.0,37.5,27.0,16.5,19.5,22.5,33.6,222.6
2011-02-25,43.5,28.5,22.5,36.0,21.0,13.5,18.0,22.5,38.4,243.9
2011-02-26,25.5,25.5,22.5,25.5,24.0,18.0,24.0,21.0,24.0,210.0
2011-02-27,19.5,18.0,16.5,28.5,15.0,15.0,19.5,16.5,31.2,179.7
2011-03-01,31.5,27.0,25.5,18.0,16.5,15.0,15.0,21.0,34.8,204.3
2011-03-02,27.0,27.0,25.5,22.5,22.5,16.5,18.0,25.5,25.8,210.3
2011-03-03,25.5,22.5,22.5,19.5,19.5,18.0,22.5,19.5,33.0,202.5
2011-03-04,25.5,21.0,18.0,27.0,24.0,15.0,39.0,21.0,22.8,213.3
2011-03-05,31.5,24.0,22.5,25.5,22.5,21.0,31.5,22.5,28.8,229.8
2011-03-06,49.5,24.0,21.0,22.5,21.0,12.0,16.5,18.0,30.6,215.1
2011-03-08,25.5,24.0,22.5,25.5,25.5,18.0,25.5,25.5,25.2,217.2
2011-03-09,31.5,31.5,30.0,31.5,25.5,18.0,31.5,22.5,28.2,250.2
2011-03-10,25.5,24.0,24.0,27.0,21.0,19.5,33.0,22.5,38.4,234.9
2011-03-11,24.0,24.0,22.5,33.0,24.0,15.0,19.5,24.0,30.0,216.0
2011-03-12,33.0,30.0,25.5,27.0,22.5,21.0,24.0,24.0,30.6,237.6
2011-03-13,27.0,25.5,25.5,37.5,22.5,16.5,21.0,22.5,24.6,222.6
2011-03-15,33.0,28.5,27.0,30.0,28.5,18.0,19.5,25.5,39.0,249.0
2011-03-17,30.0,22.5,22.5,22.5,19.5,16.5,21.0,21.0,37.2,212.7
2011-03-19,40.5,27.0,24.0,36.0,22.5,21.0,22.5,24.0,29.4,246.9
2011-03-20,31.5,30.0,30.0,31.5,24.0,21.0,39.0,30.0,25.8,262.8
2011-03-22,27.0,27.0,22.5,24.0,22.5,15.0,27.0,22.5,33.6,221.1
2011-03-24,36.0,31.5,30.0,25.5,22.5,19.5,22.5,25.5,31.8,244.8
2011-03-25,27.0,24.0,22.5,24.0,21.0,10.5,15.0,21.0,33.6,198.6
