Date,Position,Points,Count,Position_Count
2014-08-16,F,24,3,75
2014-08-16,F,19,3,75
2014-08-16,F,16,4,75
2014-08-16,F,12,2,75
2014-08-16,F,10,2,75
2014-08-16,F,7,4,75
2014-08-16,F,6,3,75
2014-08-16,F,5,3,75
2014-08-16,F,4,5,75
2014-08-16,F,3,11,75
2014-08-16,F,2,16,75
2014-08-16,F,1,8,75
2014-08-16,D,10,11,29
2014-08-16,D,6,3,29
2014-08-16,D,3,2,29
2014-08-16,D,2,2,29
2014-08-16,D,1,6,29
2014-08-16,M,17,2,41
2014-08-16,M,10,3,41
2014-08-16,M,7,4,41
2014-08-16,M,6,2,41
2014-08-16,M,5,3,41
2014-08-16,M,3,6,41
2014-08-16,M,2,9,41
2014-08-16,M,1,5,41
2014-08-16,G,22,2,14
2014-08-16,G,10,8,14
2014-08-17,F,9,2,22
2014-08-17,F,3,2,22
2014-08-17,F,2,2,22
2014-08-17,F,1,4,22
2014-08-17,D,15,2,7
2014-08-17,D,10,2,7
2014-08-17,D,2,2,7
2014-08-17,M,3,2,11
2014-08-17,M,2,2,11
2014-08-17,M,1,2,11
2014-08-17,G,NT,NT,4
2014-08-18,F,8,2,12
2014-08-18,F,2,2,12
2014-08-18,F,1,2,12
2014-08-18,D,10,2,5
2014-08-18,D,1,3,5
2014-08-18,M,NT,NT,2
2014-08-18,G,10,2,2
2014-08-23,F,29,2,67
2014-08-23,F,18,2,67
2014-08-23,F,11,2,67
2014-08-23,F,8,3,67
2014-08-23,F,7,4,67
2014-08-23,F,6,5,67
2014-08-23,F,5,2,67
2014-08-23,F,4,11,67
2014-08-23,F,3,5,67
2014-08-23,F,2,12,67
2014-08-23,F,1,10,67
2014-08-23,D,10,6,25
2014-08-23,D,5,4,25
2014-08-23,D,2,4,25
2014-08-23,D,1,9,25
2014-08-23,M,30,2,39
2014-08-23,M,13,2,39
2014-08-23,M,11,2,39
2014-08-23,M,9,2,39
2014-08-23,M,8,4,39
2014-08-23,M,7,2,39
2014-08-23,M,4,4,39
2014-08-23,M,2,2,39
2014-08-23,M,1,13,39
2014-08-23,G,12,2,10
2014-08-23,G,10,2,10
2014-08-23,G,5,2,10
2014-08-24,F,12,2,40
2014-08-24,F,7,3,40
2014-08-24,F,6,5,40
2014-08-24,F,5,3,40
2014-08-24,F,4,2,40
