Date,Position,Points,Count,Position_Count
2010-04-04,C,NT,NT,2
2010-04-04,1B,NT,NT,2
2010-04-04,2B,NT,NT,2
2010-04-04,SS,NT,NT,2
2010-04-04,3B,NT,NT,2
2010-04-04,OF,5.5,2,7
2010-04-04,P,2.5,2,6
2010-04-05,C,15.0,2,19
2010-04-05,C,14.5,2,19
2010-04-05,C,6.0,3,19
2010-04-05,C,3.0,2,19
2010-04-05,C,2.5,2,19
2010-04-05,1B,29.5,2,23
2010-04-05,1B,27.0,2,23
2010-04-05,1B,9.0,4,23
2010-04-05,1B,8.5,2,23
2010-04-05,1B,5.5,2,23
2010-04-05,1B,3.0,2,23
2010-04-05,1B,2.0,2,23
2010-04-05,2B,14.5,2,20
2010-04-05,2B,8.5,2,20
2010-04-05,2B,6.0,4,20
2010-04-05,2B,5.5,2,20
2010-04-05,2B,2.5,3,20
2010-04-05,SS,15.0,2,19
2010-04-05,SS,8.5,2,19
2010-04-05,SS,3.0,2,19
2010-04-05,SS,2.5,3,19
2010-04-05,3B,12.0,2,20
2010-04-05,3B,9.0,2,20
2010-04-05,3B,6.0,2,20
2010-04-05,3B,3.0,3,20
2010-04-05,OF,33.0,2,79
2010-04-05,OF,26.5,2,79
2010-04-05,OF,21.0,2,79
2010-04-05,OF,19.5,3,79
2010-04-05,OF,18.0,5,79
2010-04-05,OF,15.0,2,79
2010-04-05,OF,14.5,2,79
2010-04-05,OF,13.0,2,79
2010-04-05,OF,12.0,3,79
2010-04-05,OF,11.5,3,79
2010-04-05,OF,9.0,5,79
2010-04-05,OF,8.5,3,79
2010-04-05,OF,6.0,11,79
2010-04-05,OF,5.5,5,79
2010-04-05,OF,5.0,4,79
2010-04-05,OF,3.0,5,79
2010-04-05,OF,2.5,3,79
2010-04-05,OF,2.0,3,79
2010-04-05,P,36.0,2,88
2010-04-05,P,18.5,2,88
2010-04-05,P,14.0,2,88
2010-04-05,P,9.0,9,88
2010-04-05,P,8.5,3,88
2010-04-05,P,8.0,4,88
2010-04-05,P,7.0,2,88
2010-04-05,P,6.0,8,88
2010-04-05,P,5.5,3,88
2010-04-05,P,5.0,6,88
2010-04-05,P,4.5,2,88
2010-04-05,P,4.0,3,88
