Date,Position,Points,Count,Position_Count
2010-10-05,G,10.0,2,11
2010-10-05,G,6.5,2,11
2010-10-05,G,2.5,3,11
2010-10-05,F,22.5,2,15
2010-10-05,F,22.0,2,15
2010-10-05,C,NT,NT,4
2010-10-06,G,20.0,2,27
2010-10-06,G,14.0,2,27
2010-10-06,G,13.0,2,27
2010-10-06,G,10.5,2,27
2010-10-06,G,9.0,4,27
2010-10-06,G,5.5,2,27
2010-10-06,G,2.0,2,27
2010-10-06,G,0.5,2,27
2010-10-06,F,25.5,2,32
2010-10-06,F,14.5,6,32
2010-10-06,F,11.5,2,32
2010-10-06,F,10.5,4,32
2010-10-06,F,8.0,3,32
2010-10-06,F,5.5,2,32
2010-10-06,F,4.5,2,32
2010-10-06,F,2.5,4,32
2010-10-06,C,14.5,2,9
2010-10-06,C,9.0,2,9
2010-10-07,G,20.0,2,18
2010-10-07,G,19.5,3,18
2010-10-07,G,12.0,3,18
2010-10-07,G,10.0,2,18
2010-10-07,G,9.0,2,18
2010-10-07,G,7.0,2,18
2010-10-07,G,2.0,2,18
2010-10-07,F,21.5,2,15
2010-10-07,F,10.5,2,15
2010-10-07,F,9.5,2,15
2010-10-07,F,7.5,2,15
2010-10-07,F,1.0,2,15
2010-10-07,C,5.0,2,6
2010-10-08,G,25.5,2,7
2010-10-08,F,30.5,2,17
2010-10-08,F,24.0,2,17
2010-10-08,F,20.5,2,17
2010-10-08,F,9.0,2,17
2010-10-08,F,7.0,2,17
2010-10-08,C,NT,NT,4
2010-10-11,G,24.0,2,12
2010-10-11,G,20.5,2,12
2010-10-11,G,8.0,4,12
2010-10-11,F,2.0,2,10
2010-10-11,C,9.5,2,6
2010-10-12,G,27.5,2,13
2010-10-12,G,14.0,2,13
2010-10-12,G,4.0,3,13
2010-10-12,F,12.0,2,8
2010-10-12,C,6.0,2,4
2010-10-13,G,26.0,2,16
2010-10-13,G,22.0,2,16
2010-10-13,G,12.0,2,16
2010-10-13,G,10.5,2,16
2010-10-13,G,5.5,2,16
2010-10-13,F,26.5,2,11
2010-10-13,F,26.0,2,11
2010-10-13,F,12.5,2,11
2010-10-13,F,10.0,2,11
2010-10-13,F,9.5,2,11
2010-10-13,C,9.5,2,7
2010-10-13,C,4.0,2,7
2010-10-14,G,13.5,3,17
2010-10-14,G,9.5,2,17
2010-10-14,G,6.0,2,17
2010-10-14,G,4.0,3,17
2010-10-14,F,15.0,2,16
2010-10-14,F,14.0,2,16
2010-10-14,F,9.0,2,16
2010-10-14,F,8.0,3,16
2010-10-14,F,6.0,3,16
2010-10-14,C,NT,NT,1
2010-10-15,G,23.5,2,19
2010-10-15,G,22.5,2,19
2010-10-15,G,19.0,4,19
2010-10-15,G,11.5,2,19
2010-10-15,G,9.0,2,19
2010-10-15,G,8.0,2,19
2010-10-15,G,1.0,2,19
2010-10-15,F,13.5,2,11
2010-10-15,F,9.0,2,11
2010-10-15,C,17.0,2,7
2010-10-15,C,8.5,2,7
2010-10-18,G,24.5,2,14
2010-10-18,G,20.0,2,14
2010-10-18,G,2.5,3,14
2010-10-18,F,33.0,2,14
2010-10-18,F,28.5,2,14
2010-10-18,F,11.5,2,14
2010-10-18,F,2.0,2,14
2010-10-18,C,NT,NT,1
2010-10-19,G,15.5,2,13
2010-10-19,G,1.0,2,13
2010-10-19,F,13.0,2,13
2010-10-19,F,8.5,2,13
2010-10-19,C,NT,NT,2
2010-10-20,G,25.0,2,17
2010-10-20,G,13.5,4,17
2010-10-20,G,10.5,4,17
2010-10-20,G,8.0,2,17
2010-10-20,G,1.0,2,17
2010-10-20,F,16.5,2,15
2010-10-20,F,15.5,2,15
2010-10-20,F,14.0,2,15
2010-10-20,F,4.0,2,15
2010-10-20,F,2.0,2,15
2010-10-20,C,11.0,2,4
2010-10-21,G,33.0,2,13
2010-10-21,G,16.0,3,13
2010-10-21,G,4.0,2,13
2010-10-21,G,3.0,2,13
2010-10-21,F,42.0,2,10
2010-10-21,F,27.5,2,10
2010-10-21,C,22.0,2,6
2010-10-22,G,18.0,3,8
2010-10-22,F,9.5,2,9
2010-10-22,C,5.5,2,6
2010-10-26,G,30.0,2,34
2010-10-26,G,28.5,2,34
2010-10-26,G,25.5,2,34
2010-10-26,G,24.5,3,34
2010-10-26,G,19.0,2,34
2010-10-26,G,17.5,3,34
2010-10-26,G,9.0,2,34
2010-10-26,G,7.5,2,34
2010-10-26,G,5.5,2,34
2010-10-26,G,4.5,2,34
2010-10-26,G,2.0,2,34
2010-10-26,G,1.0,2,34
2010-10-26,F,28.0,2,31
2010-10-26,F,24.5,2,31
2010-10-26,F,21.5,2,31
2010-10-26,F,17.0,2,31
2010-10-26,F,13.5,3,31
2010-10-26,F,10.5,2,31
2010-10-26,F,9.0,2,31
2010-10-26,F,6.5,2,31
2010-10-26,C,19.5,2,12
2010-10-27,G,37.5,2,142
2010-10-27,G,36.0,2,142
2010-10-27,G,33.5,2,142
2010-10-27,G,30.0,2,142
2010-10-27,G,28.5,4,142
2010-10-27,G,27.5,3,142
2010-10-27,G,25.5,3,142
2010-10-27,G,25.0,3,142
2010-10-27,G,23.0,4,142
2010-10-27,G,22.5,5,142
2010-10-27,G,20.5,5,142
2010-10-27,G,20.0,5,142
2010-10-27,G,19.0,2,142
2010-10-27,G,18.0,4,142
2010-10-27,G,17.5,2,142
2010-10-27,G,17.0,3,142
2010-10-27,G,16.0,2,142
2010-10-27,G,15.5,2,142
2010-10-27,G,15.0,3,142
2010-10-27,G,14.0,3,142
2010-10-27,G,13.5,2,142
2010-10-27,G,13.0,2,142
2010-10-27,G,12.5,2,142
2010-10-27,G,12.0,4,142
2010-10-27,G,11.0,3,142
2010-10-27,G,9.5,3,142
2010-10-27,G,9.0,3,142
2010-10-27,G,8.5,3,142
2010-10-27,G,8.0,5,142
2010-10-27,G,7.5,6,142
2010-10-27,G,7.0,2,142
2010-10-27,G,6.5,3,142
2010-10-27,G,5.5,3,142
2010-10-27,G,4.5,3,142
2010-10-27,G,4.0,3,142
2010-10-27,G,3.0,3,142
2010-10-27,G,2.5,2,142
2010-10-27,G,2.0,4,142
2010-10-27,G,1.5,2,142
2010-10-27,G,1.0,5,142
2010-10-27,F,40.0,2,140
2010-10-27,F,34.5,2,140
2010-10-27,F,34.0,3,140
2010-10-27,F,31.5,2,140
2010-10-27,F,30.0,2,140
2010-10-27,F,28.0,2,140
2010-10-27,F,25.5,2,140
2010-10-27,F,24.0,4,140
2010-10-27,F,23.5,2,140
2010-10-27,F,23.0,3,140
2010-10-27,F,22.5,2,140
2010-10-27,F,22.0,4,140
2010-10-27,F,21.0,3,140
2010-10-27,F,20.5,3,140
2010-10-27,F,20.0,3,140
2010-10-27,F,19.5,4,140
