Date,Position,Points,Count,Position_Count
2010-11-08,G,23.0,2,45
2010-11-08,G,16.0,2,45
2010-11-08,G,13.5,2,45
2010-11-08,G,11.5,2,45
2010-11-08,G,11.0,2,45
2010-11-08,G,9.5,2,45
2010-11-08,G,9.0,2,45
2010-11-08,G,7.0,3,45
2010-11-08,G,6.0,3,45
2010-11-08,G,3.0,2,45
2010-11-08,G,2.5,2,45
2010-11-08,G,1.5,2,45
2010-11-08,G,0.5,2,45
2010-11-08,F,16.5,2,34
2010-11-08,F,16.0,2,34
2010-11-08,F,6.0,2,34
2010-11-08,F,5.5,2,34
2010-11-08,F,5.0,2,34
2010-11-08,F,4.5,2,34
2010-11-08,F,4.0,2,34
2010-11-08,F,3.0,2,34
2010-11-08,F,1.0,2,34
2010-11-08,C,NT,NT,7
2010-11-10,G,20.5,2,43
2010-11-10,G,16.0,2,43
2010-11-10,G,13.0,3,43
2010-11-10,G,8.0,2,43
2010-11-10,G,7.5,2,43
2010-11-10,G,6.0,3,43
2010-11-10,G,5.0,5,43
2010-11-10,G,4.5,2,43
2010-11-10,G,2.5,2,43
2010-11-10,G,1.0,2,43
2010-11-10,F,13.0,3,31
2010-11-10,F,8.5,5,31
2010-11-10,F,7.5,2,31
2010-11-10,F,6.5,2,31
2010-11-10,F,6.0,2,31
2010-11-10,F,3.5,2,31
2010-11-10,C,15.5,2,8
2010-11-12,G,37.0,3,1227
2010-11-12,G,32.0,2,1227
2010-11-12,G,31.0,2,1227
2010-11-12,G,30.0,5,1227
2010-11-12,G,29.0,3,1227
2010-11-12,G,28.0,2,1227
2010-11-12,G,27.5,3,1227
2010-11-12,G,27.0,4,1227
2010-11-12,G,26.5,5,1227
2010-11-12,G,25.5,5,1227
2010-11-12,G,25.0,7,1227
2010-11-12,G,24.5,8,1227
2010-11-12,G,24.0,8,1227
2010-11-12,G,23.5,11,1227
2010-11-12,G,23.0,12,1227
2010-11-12,G,22.5,5,1227
2010-11-12,G,22.0,12,1227
2010-11-12,G,21.5,12,1227
2010-11-12,G,21.0,13,1227
2010-11-12,G,20.5,15,1227
2010-11-12,G,20.0,13,1227
2010-11-12,G,19.5,13,1227
2010-11-12,G,19.0,15,1227
2010-11-12,G,18.5,17,1227
2010-11-12,G,18.0,24,1227
2010-11-12,G,17.5,30,1227
2010-11-12,G,17.0,17,1227
2010-11-12,G,16.5,19,1227
2010-11-12,G,16.0,19,1227
2010-11-12,G,15.5,15,1227
2010-11-12,G,15.0,27,1227
2010-11-12,G,14.5,21,1227
2010-11-12,G,14.0,27,1227
2010-11-12,G,13.5,26,1227
2010-11-12,G,13.0,25,1227
2010-11-12,G,12.5,25,1227
2010-11-12,G,12.0,21,1227
2010-11-12,G,11.5,24,1227
2010-11-12,G,11.0,35,1227
2010-11-12,G,10.5,25,1227
2010-11-12,G,10.0,28,1227
2010-11-12,G,9.5,31,1227
2010-11-12,G,9.0,30,1227
2010-11-12,G,8.5,30,1227
2010-11-12,G,8.0,37,1227
2010-11-12,G,7.5,38,1227
2010-11-12,G,7.0,34,1227
2010-11-12,G,6.5,40,1227
2010-11-12,G,6.0,32,1227
2010-11-12,G,5.5,28,1227
2010-11-12,G,5.0,26,1227
2010-11-12,G,4.5,23,1227
2010-11-12,G,4.0,28,1227
2010-11-12,G,3.5,27,1227
2010-11-12,G,3.0,32,1227
2010-11-12,G,2.5,38,1227
2010-11-12,G,2.0,35,1227
2010-11-12,G,1.5,31,1227
2010-11-12,G,1.0,52,1227
2010-11-12,G,0.5,27,1227
2010-11-12,F,36.5,2,876
2010-11-12,F,34.0,2,876
2010-11-12,F,33.0,3,876
2010-11-12,F,32.5,3,876
2010-11-12,F,32.0,2,876
2010-11-12,F,31.0,2,876
2010-11-12,F,30.5,4,876
2010-11-12,F,29.5,4,876
2010-11-12,F,28.5,4,876
2010-11-12,F,28.0,2,876
2010-11-12,F,27.0,5,876
2010-11-12,F,26.0,8,876
2010-11-12,F,25.5,5,876
2010-11-12,F,25.0,2,876
2010-11-12,F,24.5,8,876
2010-11-12,F,24.0,3,876
2010-11-12,F,23.5,5,876
2010-11-12,F,23.0,8,876
2010-11-12,F,22.5,5,876
2010-11-12,F,22.0,6,876
2010-11-12,F,21.5,9,876
2010-11-12,F,21.0,7,876
2010-11-12,F,20.5,14,876
2010-11-12,F,20.0,9,876
2010-11-12,F,19.5,10,876
2010-11-12,F,19.0,2,876
2010-11-12,F,18.5,7,876
2010-11-12,F,18.0,11,876
2010-11-12,F,17.5,10,876
2010-11-12,F,17.0,14,876
2010-11-12,F,16.5,13,876
2010-11-12,F,16.0,10,876
2010-11-12,F,15.5,23,876
2010-11-12,F,15.0,21,876
2010-11-12,F,14.5,13,876
2010-11-12,F,14.0,14,876
2010-11-12,F,13.5,16,876
2010-11-12,F,13.0,15,876
2010-11-12,F,12.5,16,876
2010-11-12,F,12.0,23,876
2010-11-12,F,11.5,17,876
2010-11-12,F,11.0,23,876
2010-11-12,F,10.5,21,876
2010-11-12,F,10.0,14,876
2010-11-12,F,9.5,34,876
2010-11-12,F,9.0,25,876
2010-11-12,F,8.5,18,876
2010-11-12,F,8.0,21,876
2010-11-12,F,7.5,18,876
2010-11-12,F,7.0,29,876
2010-11-12,F,6.5,12,876
2010-11-12,F,6.0,23,876
2010-11-12,F,5.5,23,876
2010-11-12,F,5.0,30,876
2010-11-12,F,4.5,22,876
