Date,Position,Points,Count,Position_Count
2009-08-09,QB,4.3,2,41
2009-08-09,QB,3.3,2,41
2009-08-09,QB,3.1,2,41
2009-08-09,QB,2.8,2,41
2009-08-09,QB,1.6,2,41
2009-08-09,QB,0.6,2,41
2009-08-09,RB,10.4,2,63
2009-08-09,RB,5.5,2,63
2009-08-09,RB,4.5,2,63
2009-08-09,RB,4.3,2,63
2009-08-09,RB,3.9,2,63
2009-08-09,RB,3.0,3,63
2009-08-09,RB,2.4,2,63
2009-08-09,RB,2.1,2,63
2009-08-09,RB,2.0,2,63
2009-08-09,RB,1.8,2,63
2009-08-09,RB,1.7,2,63
2009-08-09,RB,1.5,2,63
2009-08-09,RB,1.1,2,63
2009-08-09,RB,0.5,4,63
2009-08-09,RB,0.4,2,63
2009-08-09,RB,0.2,2,63
2009-08-09,WR,10.2,2,80
2009-08-09,WR,9.8,2,80
2009-08-09,WR,9.3,2,80
2009-08-09,WR,6.8,2,80
2009-08-09,WR,6.0,3,80
2009-08-09,WR,5.5,2,80
2009-08-09,WR,5.1,2,80
2009-08-09,WR,4.8,2,80
2009-08-09,WR,4.4,2,80
2009-08-09,WR,4.3,2,80
2009-08-09,WR,2.6,2,80
2009-08-09,WR,2.5,3,80
2009-08-09,WR,2.4,2,80
2009-08-09,WR,2.2,2,80
2009-08-09,WR,2.1,2,80
2009-08-09,WR,2.0,3,80
2009-08-09,WR,1.9,3,80
2009-08-09,WR,1.8,3,80
2009-08-09,WR,1.7,5,80
2009-08-09,WR,1.6,2,80
2009-08-09,WR,1.5,3,80
2009-08-09,WR,1.4,2,80
2009-08-09,TE,9.5,2,31
2009-08-09,TE,4.9,2,31
2009-08-09,TE,4.5,2,31
2009-08-09,TE,3.4,2,31
2009-08-09,TE,2.1,2,31
2009-08-09,TE,1.9,2,31
2009-08-09,D,7.0,3,16
2009-08-09,D,4.0,3,16
2009-08-09,D,1.0,4,16
2009-08-13,QB,8.1,2,63
2009-08-13,QB,4.6,2,63
2009-08-13,QB,4.5,2,63
2009-08-13,QB,4.3,2,63
2009-08-13,QB,3.8,2,63
2009-08-13,QB,3.1,2,63
2009-08-13,QB,2.8,4,63
2009-08-13,QB,2.1,2,63
2009-08-13,QB,2.0,2,63
2009-08-13,QB,1.6,3,63
2009-08-13,QB,1.4,2,63
2009-08-13,QB,1.2,3,63
2009-08-13,QB,0.6,2,63
2009-08-13,RB,10.4,2,97
2009-08-13,RB,5.5,2,97
2009-08-13,RB,5.2,3,97
2009-08-13,RB,5.1,2,97
2009-08-13,RB,4.8,2,97
2009-08-13,RB,4.2,2,97
2009-08-13,RB,3.9,3,97
2009-08-13,RB,3.7,2,97
2009-08-13,RB,3.5,2,97
2009-08-13,RB,3.2,3,97
2009-08-13,RB,3.0,3,97
2009-08-13,RB,2.4,2,97
2009-08-13,RB,2.2,2,97
2009-08-13,RB,2.1,2,97
2009-08-13,RB,2.0,2,97
2009-08-13,RB,1.8,2,97
2009-08-13,RB,1.7,3,97
2009-08-13,RB,1.6,2,97
2009-08-13,RB,1.5,3,97
2009-08-13,RB,1.1,2,97
2009-08-13,RB,0.7,2,97
2009-08-13,RB,0.5,4,97
2009-08-13,RB,0.4,4,97
2009-08-13,RB,0.2,3,97
2009-08-13,WR,12.3,2,126
2009-08-13,WR,10.2,2,126
2009-08-13,WR,9.8,2,126
2009-08-13,WR,6.8,2,126
2009-08-13,WR,6.0,3,126
2009-08-13,WR,5.6,2,126
2009-08-13,WR,5.5,2,126
2009-08-13,WR,4.8,2,126
2009-08-13,WR,4.4,3,126
2009-08-13,WR,4.3,4,126
2009-08-13,WR,4.2,2,126
2009-08-13,WR,3.8,3,126
2009-08-13,WR,3.6,2,126
2009-08-13,WR,3.1,3,126
2009-08-13,WR,2.9,2,126
2009-08-13,WR,2.6,2,126
2009-08-13,WR,2.5,5,126
2009-08-13,WR,2.4,2,126
2009-08-13,WR,2.2,4,126
2009-08-13,WR,2.1,2,126
2009-08-13,WR,2.0,4,126
2009-08-13,WR,1.9,3,126
2009-08-13,WR,1.8,5,126
2009-08-13,WR,1.7,9,126
2009-08-13,WR,1.6,6,126
2009-08-13,WR,1.5,4,126
2009-08-13,WR,1.4,3,126
2009-08-13,TE,11.6,2,57
2009-08-13,TE,9.5,2,57
2009-08-13,TE,4.9,3,57
2009-08-13,TE,4.5,2,57
2009-08-13,TE,4.0,2,57
2009-08-13,TE,3.4,3,57
2009-08-13,TE,2.1,2,57
2009-08-13,TE,1.9,3,57
2009-08-13,TE,1.7,4,57
2009-08-13,TE,1.6,2,57
2009-08-13,TE,1.5,3,57
2009-08-13,TE,1.4,2,57
2009-08-13,TE,1.3,5,57
2009-08-13,TE,1.2,3,57
2009-08-13,D,7.0,4,26
2009-08-13,D,6.0,2,26
2009-08-13,D,4.0,3,26
2009-08-13,D,2.0,3,26
2009-08-13,D,1.0,6,26
2009-08-13,D,0.0,2,26
2009-08-14,QB,8.1,2,53
2009-08-14,QB,4.6,2,53
2009-08-14,QB,3.1,2,53
2009-08-14,QB,2.8,3,53
2009-08-14,QB,1.6,2,53
2009-08-14,QB,1.4,2,53
