Date,Position,Points,Count,Position_Count
2010-09-28,W,12.0,2,12
2010-09-28,W,10.5,2,12
2010-09-28,W,9.0,2,12
2010-09-28,W,3.0,2,12
2010-09-28,W,1.5,2,12
2010-09-28,D,1.5,3,6
2010-09-28,C,9.0,2,8
2010-09-28,C,3.0,4,8
2010-09-28,G,NT,NT,2
2010-09-30,W,12.0,4,12
2010-09-30,W,3.0,3,12
2010-09-30,W,1.5,2,12
2010-09-30,D,12.0,5,11
2010-09-30,D,1.5,3,11
2010-09-30,C,7.5,2,9
2010-09-30,C,4.5,3,9
2010-09-30,C,1.5,2,9
2010-09-30,G,NT,NT,2
2010-10-01,W,18.0,2,12
2010-10-01,W,6.0,2,12
2010-10-01,W,4.5,2,12
2010-10-01,W,1.5,3,12
2010-10-01,D,12.0,2,10
2010-10-01,D,3.0,3,10
2010-10-01,C,13.5,2,11
2010-10-01,C,1.5,4,11
2010-10-01,G,NT,NT,1
2010-10-07,W,22.5,2,65
2010-10-07,W,15.0,2,65
2010-10-07,W,13.5,5,65
2010-10-07,W,9.0,3,65
2010-10-07,W,7.5,2,65
2010-10-07,W,6.0,7,65
2010-10-07,W,4.5,7,65
2010-10-07,W,3.0,16,65
2010-10-07,W,1.5,16,65
2010-10-07,D,16.5,2,49
2010-10-07,D,15.0,2,49
2010-10-07,D,12.0,2,49
2010-10-07,D,9.0,3,49
2010-10-07,D,7.5,3,49
2010-10-07,D,6.0,5,49
2010-10-07,D,4.5,6,49
2010-10-07,D,3.0,10,49
2010-10-07,D,1.5,15,49
2010-10-07,C,16.5,2,42
2010-10-07,C,13.5,2,42
2010-10-07,C,12.0,3,42
2010-10-07,C,10.5,4,42
2010-10-07,C,9.0,4,42
2010-10-07,C,7.5,7,42
2010-10-07,C,6.0,4,42
2010-10-07,C,4.5,5,42
2010-10-07,C,3.0,4,42
2010-10-07,C,1.5,3,42
2010-10-07,G,5.3999999999999986,2,10
2010-10-08,W,18.0,3,75
2010-10-08,W,15.0,2,75
2010-10-08,W,13.5,6,75
2010-10-08,W,12.0,3,75
2010-10-08,W,10.5,3,75
2010-10-08,W,9.0,7,75
2010-10-08,W,7.5,10,75
2010-10-08,W,6.0,4,75
2010-10-08,W,4.5,5,75
2010-10-08,W,3.0,15,75
2010-10-08,W,1.5,13,75
2010-10-08,D,7.5,6,50
2010-10-08,D,6.0,8,50
2010-10-08,D,4.5,4,50
2010-10-08,D,3.0,15,50
2010-10-08,D,1.5,15,50
2010-10-08,C,18.0,3,48
2010-10-08,C,16.5,3,48
2010-10-08,C,13.5,2,48
2010-10-08,C,10.5,6,48
2010-10-08,C,7.5,2,48
2010-10-08,C,6.0,4,48
2010-10-08,C,4.5,6,48
2010-10-08,C,3.0,9,48
2010-10-08,C,1.5,8,48
2010-10-08,G,21.0,2,12
2010-10-09,W,24.0,3,143
2010-10-09,W,21.0,4,143
